date,sump,trt,flow_ft3,NO3Nppm
6/15/2009,11,C2,0,
6/15/2009,21,CC,0,
6/15/2009,12,CC,0,
6/15/2009,22,S2,0,
6/15/2009,23,PF,0,
6/15/2009,14,CCW,0,
6/15/2009,24,P,0,
6/15/2009,15,PF,0,
6/15/2009,25,CCW,0,
6/15/2009,16,S2,0,
6/15/2009,26,C2,0,
6/15/2009,31,P,0,
6/15/2009,41,PF,0,
6/15/2009,32,PF,0,
6/15/2009,42,CCW,0,
6/15/2009,33,C2,0,
6/15/2009,43,CC,0,
6/15/2009,34,S2,0,
6/15/2009,44,C2,0,
6/15/2009,35,CC,0,
6/15/2009,45,S2,0,
6/15/2009,36,CCW,0,
6/15/2009,46,P,0,
6/18/2009,11,C2,14.61,
6/18/2009,21,CC,16.89,
6/18/2009,12,CC,0,
6/18/2009,22,S2,8.9,
6/18/2009,13,P,0,
6/18/2009,23,PF,0,
6/18/2009,14,CCW,0.23,
6/18/2009,24,P,0,
6/18/2009,15,PF,2.29,
6/18/2009,25,CCW,72.07,
6/18/2009,16,S2,0,
6/18/2009,26,C2,2.31,
6/18/2009,31,P,0,
6/18/2009,41,PF,0,
6/18/2009,32,PF,0,
6/18/2009,42,CCW,6.8,
6/18/2009,33,C2,0.64,
6/18/2009,43,CC,0,
6/18/2009,34,S2,1.71,
6/18/2009,44,C2,37.61,
6/18/2009,35,CC,1.3,
6/18/2009,45,S2,0.17,
6/18/2009,36,CCW,0.33,
6/18/2009,46,P,0,
6/25/2009,11,C2,450.15,12.97
6/25/2009,21,CC,469.94,13.36
6/25/2009,12,CC,237.82,11.64
6/25/2009,22,S2,388.56,12.47
6/25/2009,13,P,102.4,1.3
6/25/2009,23,PF,11.44,
6/25/2009,14,CCW,0,
6/25/2009,24,P,111.6,0.27
6/25/2009,15,PF,148.61,0.96
6/25/2009,25,CCW,13.16,9.17
6/25/2009,16,S2,231.16,7.11
6/25/2009,26,C2,257.26,12.29
6/25/2009,31,P,318.3,0.77
6/25/2009,41,PF,135.54,0.53
6/25/2009,32,PF,43.4,0.24
6/25/2009,42,CCW,447.72,10.67
6/25/2009,33,C2,110.61,14.55
6/25/2009,43,CC,35.62,8.46
6/25/2009,34,S2,314.63,13.06
6/25/2009,44,C2,474.79,9.86
6/25/2009,35,CC,12.31,
6/25/2009,45,S2,220.44,10.9
6/25/2009,36,CCW,133.33,15.79
6/25/2009,46,P,37.65,0.17
6/29/2009,11,C2,39.76,14.45
6/29/2009,21,CC,106.81,12.56
6/29/2009,12,CC,29.4,11.36
6/29/2009,22,S2,105.02,12.41
6/29/2009,13,P,22.51,1.44
6/29/2009,23,PF,4.09,
6/29/2009,14,CCW,0,
6/29/2009,24,P,8.35,0.63
6/29/2009,15,PF,29.75,1.17
6/29/2009,25,CCW,646.91,7.77
6/29/2009,16,S2,16.04,7.66
6/29/2009,26,C2,8.03,12.2
6/29/2009,31,P,65.53,0.55
6/29/2009,41,PF,17,0.43
6/29/2009,32,PF,7.05,
6/29/2009,42,CCW,47.08,
6/29/2009,33,C2,19.19,
6/29/2009,43,CC,0,
6/29/2009,34,S2,61.72,12.89
6/29/2009,44,C2,87.59,7.46
6/29/2009,35,CC,0,
6/29/2009,45,S2,23.62,
6/29/2009,36,CCW,13.27,15.03
6/29/2009,46,P,23.52,0.1
7/2/2009,11,C2,0,
7/2/2009,21,CC,0,
7/2/2009,12,CC,0.01,
7/2/2009,22,S2,0,
7/2/2009,13,P,0,
7/2/2009,23,PF,0,
7/2/2009,14,CCW,0,
7/2/2009,24,P,0,
7/2/2009,15,PF,0,
7/2/2009,25,CCW,19.32,5.35
7/2/2009,16,S2,0,
7/2/2009,26,C2,0,
7/2/2009,31,P,0,
7/2/2009,41,PF,0,
7/2/2009,32,PF,0,
7/2/2009,42,CCW,0,
7/2/2009,33,C2,0,
7/2/2009,43,CC,0,
7/2/2009,34,S2,0,
7/2/2009,44,C2,0,
7/2/2009,35,CC,0,
7/2/2009,45,S2,0,
7/2/2009,36,CCW,0,
7/2/2009,46,P,1.31,
7/6/2009,11,C2,0,
