ApsimVersion = 7.6
Title = PFnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     05/05/2008          151.6           67.1          241.0
     06/05/2008          154.0           69.0          222.0
     07/05/2008          158.1           71.1          214.9
     08/05/2008          160.1           72.4          210.7
     09/05/2008          163.8           74.3          206.7
     10/05/2008          167.3           76.0          199.7
     11/05/2008          171.0           77.8          196.8
     12/05/2008          173.9           79.1          191.9
     13/05/2008          179.9           81.6          188.6
     14/05/2008          186.1           84.2          186.9
     15/05/2008          192.6           86.7          185.8
     16/05/2008          199.9           89.6          186.6
     17/05/2008          208.0           92.6          187.5
     18/05/2008          217.1           96.3          188.5
     19/05/2008          227.4          100.4          189.4
     20/05/2008          236.1          103.9          190.3
     21/05/2008          247.9          108.8          191.3
     22/05/2008          261.1          114.2          192.1
     23/05/2008          274.2          119.6          185.4
     24/05/2008          278.1          121.1          178.1
     25/05/2008          282.3          121.6          162.7
     26/05/2008          291.5          123.5          150.8
     27/05/2008          304.8          127.3          146.7
     28/05/2008          320.5          131.7          142.5
     29/05/2008          326.1          133.1          135.7
     30/05/2008          336.1          135.6          123.8
     31/05/2008          345.6          138.0          114.4
     01/06/2008          367.7          144.7          107.8
     02/06/2008          391.7          152.4           99.0
     03/06/2008          408.7          157.9           92.8
     04/06/2008          424.8          163.1           86.5
     05/06/2008          433.9          165.6           79.8
     06/06/2008          445.3          169.0           74.0
     07/06/2008          462.1          174.6           69.5
     08/06/2008          487.8          183.5           64.8
     09/06/2008          512.2          192.1           60.8
     10/06/2008          534.8          199.9           57.5
     11/06/2008          566.8          211.4           54.1
     12/06/2008          612.9          228.4           51.2
     13/06/2008          647.4          241.1           49.2
     14/06/2008          697.9          260.0           47.9
     15/06/2008          760.4          283.9           47.2
     16/06/2008          834.1          312.7           47.4
     17/06/2008          919.7          346.2           47.9
     18/06/2008         1016.3          384.1           48.9
     19/06/2008         1124.4          427.0           50.3
     20/06/2008         1245.5          475.5           52.3
     21/06/2008         1381.5          530.3           50.7
     22/06/2008         1529.5          590.4           49.7
     23/06/2008         1649.0          638.5           49.2
     24/06/2008            0.0            0.0           47.3
     25/06/2008            0.0            0.0           46.5
     26/06/2008            0.0            0.0           43.2
     27/06/2008            0.0            0.0           40.5
     28/06/2008            0.0            0.0           38.6
     29/06/2008            0.0            0.0           37.1
     30/06/2008            0.0            0.0           36.3
     01/07/2008          195.0          150.0           36.3
     02/07/2008          195.0          148.9           36.3
     03/07/2008          203.4          149.9           36.6
     04/07/2008          212.8          151.3           37.1
     05/07/2008          221.4          152.5           37.7
     06/07/2008          229.5          153.8           38.6
     07/07/2008          236.4          154.8           36.7
     08/07/2008          241.5          155.3           35.2
     09/07/2008          246.8          156.0           34.2
     10/07/2008          257.7          158.4           33.0
     11/07/2008          266.7          160.3           32.0
     12/07/2008          275.7          162.3           31.5
     13/07/2008          284.2          164.2           31.4
     14/07/2008          297.1          167.5           31.6
     15/07/2008          312.9          171.9           32.4
     16/07/2008          330.3          176.9           33.6
     17/07/2008          344.5          181.1           32.8
     18/07/2008          358.2          185.1           32.4
     19/07/2008          369.6          188.5           31.7
     20/07/2008          384.6          193.2           31.4
     21/07/2008          397.2          197.1           30.8
     22/07/2008          412.8          202.2           30.5
     23/07/2008          428.1          207.2           30.5
     24/07/2008          453.8          216.7           30.5
     25/07/2008          468.7          221.7           30.3
     26/07/2008          474.9          223.2           30.4
     27/07/2008          501.3          233.1           30.1
     28/07/2008          532.6          244.9           30.2
     29/07/2008          555.1          253.3           30.1
     30/07/2008          586.3          265.2           30.3
     31/07/2008          613.0          275.2           30.8
     01/08/2008          653.0          290.8           31.5
     02/08/2008          697.0          308.1           32.6
     03/08/2008          751.2          329.6           33.9
     04/08/2008          809.2          352.8           35.5
     05/08/2008          871.1          377.5           37.3
     06/08/2008          934.8          403.0           39.3
     07/08/2008         1021.5          438.2           41.7
     08/08/2008         1110.9          474.5           44.3
     09/08/2008         1217.1          517.9           47.0
     10/08/2008         1326.5          562.4           49.8
     11/08/2008         1432.6          605.5           52.6
     12/08/2008         1558.3          656.9           52.4
     13/08/2008         1639.5          688.4           52.0
     14/08/2008         1732.9          725.0           51.7
     15/08/2008         1842.4          768.4           51.7
     16/08/2008         1952.5          811.8           52.0
     17/08/2008         2110.4          875.7           52.8
     18/08/2008         2269.4          939.8           53.8
     19/08/2008         2432.7         1005.4           55.3
     20/08/2008         2596.5         1070.8           57.0
     21/08/2008         2755.3         1133.9           59.1
     22/08/2008         2888.6         1185.4           61.5
     23/08/2008         2967.8         1213.1           64.1
     24/08/2008         3127.7         1276.7           67.5
     25/08/2008         3291.8         1341.6           71.1
     26/08/2008         3458.8         1407.6           75.0
     27/08/2008         3623.7         1471.5           76.2
     28/08/2008         3726.8         1507.8           77.5
     29/08/2008         3813.3         1537.3           79.6
     30/08/2008         3990.9         1605.9           81.9
     31/08/2008         4161.5         1671.1           84.8
     01/09/2008         4316.6         1729.4           88.3
     02/09/2008         4459.0         1781.9           92.4
     03/09/2008         4522.3         1804.2           98.8
     04/09/2008         4577.1         1822.7          107.2
     05/09/2008         4614.6         1833.4          114.9
     06/09/2008         4663.7         1849.7          123.0
     07/09/2008         4706.3         1862.0          131.3
     08/09/2008         4755.2         1880.6          137.4
     09/09/2008         4796.1         1893.9          145.1
     10/09/2008         4841.4         1905.7          151.1
     11/09/2008         4904.4         1922.2          150.8
     12/09/2008         4952.5         1934.6          154.8
     13/09/2008         4985.8         1940.0          165.1
     14/09/2008         4987.1         1937.1          176.7
     15/09/2008         5064.0         1967.1          183.2
     16/09/2008         5114.8         1981.4          194.6
     17/09/2008         5176.6         1998.4          207.1
     18/09/2008         5242.6         2017.6          220.9
     19/09/2008         5305.5         2036.6          235.9
     20/09/2008         5362.9         2053.5          251.9
     21/09/2008         5418.5         2071.0          268.8
     22/09/2008         5473.4         2087.9          285.6
     23/09/2008         5529.7         2104.5          296.8
     24/09/2008         5579.1         2118.6          316.2
     25/09/2008         5625.1         2132.4          336.8
     26/09/2008         5685.6         2151.7          358.4
     27/09/2008         5744.9         2171.3          380.9
     28/09/2008         5799.5         2192.4          404.0
     29/09/2008         5851.7         2214.1          418.6
     30/09/2008         5886.1         2230.2          440.1
     01/10/2008          766.3         2223.4          441.8
     02/10/2008          812.3         2216.1          359.6
     03/10/2008          827.5         2206.9          361.5
     04/10/2008          848.4         2198.1          356.5
     05/10/2008          859.6         2182.6          351.5
     06/10/2008          870.2         2166.4          333.1
     07/10/2008          884.2         2158.8          327.3
     08/10/2008          889.8         2149.6          320.0
     09/10/2008          899.0         2140.2          313.0
     10/10/2008          916.6         2128.7          304.5
     11/10/2008          928.9         2114.5          294.1
     12/10/2008          938.6         2098.7          283.4
     13/10/2008          952.7         2090.1          277.0
     14/10/2008          969.6         2086.9          275.3
     15/10/2008          989.0         2083.0          273.1
     16/10/2008          994.4         2080.2          271.5
     17/10/2008         1010.2         2077.6          270.0
     18/10/2008         1025.2         2077.1          268.3
     19/10/2008         1030.2         2068.5          261.3
     20/10/2008         1051.1         2067.1          259.1
     21/10/2008         1053.0         2067.4          258.1
     22/10/2008         1060.4         2066.1          256.5
     23/10/2008         1068.1         2065.6          255.3
     24/10/2008         1073.5         2066.4          254.1
     25/10/2008         1072.2         2061.7          251.2
     26/10/2008         1076.8         2061.8          250.3
     27/10/2008         1076.8         2061.8          250.3
     28/10/2008         1076.8         2061.8          250.0
     29/10/2008         1075.7         2058.1          248.0
     30/10/2008         1077.9         2051.9          244.2
     31/10/2008         1088.5         2044.0          238.2
     01/11/2008         1110.4         2040.4          235.2
     02/11/2008         1121.2         2031.2          229.5
     03/11/2008         1128.5         2020.7          223.9
     04/11/2008         1132.3         2009.6          218.9
     05/11/2008         1136.3         2000.8          212.1
     06/11/2008         1145.2         1999.9          211.3
     07/11/2008         1145.2         1999.9          211.3
     08/11/2008         1145.2         1999.9          211.3
     09/11/2008         1145.2         1999.9          211.3
     10/11/2008         1145.5         1999.9          210.7
     11/11/2008         1145.5         1999.9          210.5
     12/11/2008         1146.1         2000.0          209.8
     13/11/2008         1144.7         1998.2          209.3
     14/11/2008         1145.2         1998.2          208.7
     15/11/2008         1145.2         1998.2          208.7
     16/11/2008         1145.2         1998.2          208.7
     17/11/2008         1145.2         1998.2          208.7
     18/11/2008         1145.2         1998.2          208.7
     19/11/2008         1145.2         1998.2          208.5
     20/11/2008         1145.2         1998.2          208.5
     21/11/2008         1145.2         1998.2          208.5
     22/11/2008         1145.2         1998.2          208.5
     23/11/2008         1145.2         1998.2          208.5
     24/11/2008         1145.2         1998.2          208.4
     25/11/2008         1145.2         1998.2          208.4
     26/11/2008         1145.2         1998.2          208.4
     27/11/2008         1145.2         1998.2          208.4
     28/11/2008         1145.2         1998.2          208.3
     29/11/2008         1145.2         1998.2          208.3
     30/11/2008         1145.2         1998.2          208.3
     01/12/2008         1145.2         1998.2          208.3
     02/12/2008         1145.2         1998.2          208.3
     03/12/2008         1145.2         1998.2          208.3
     04/12/2008         1145.2         1998.2          208.3
     05/12/2008         1145.2         1998.2          208.3
     06/12/2008         1145.2         1998.2          208.3
     07/12/2008         1145.2         1998.2          208.3
