ApsimVersion = 7.6
Title = Pnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     05/05/2008          150.8           99.7          241.0
     06/05/2008          152.4          101.9          222.0
     07/05/2008          155.1          104.5          215.3
     08/05/2008          156.5          106.1          211.1
     09/05/2008          159.4          108.0          206.9
     10/05/2008          162.0          109.8          199.8
     11/05/2008          164.9          111.8          196.8
     12/05/2008          167.0          113.2          191.9
     13/05/2008          171.6          116.0          188.4
     14/05/2008          176.3          118.8          186.8
     15/05/2008          181.1          121.5          185.7
     16/05/2008          186.4          124.5          186.5
     17/05/2008          192.1          127.4          187.4
     18/05/2008          198.6          131.2          188.3
     19/05/2008          205.8          135.2          189.2
     20/05/2008          211.6          138.7          190.2
     21/05/2008          219.7          143.4          191.1
     22/05/2008          228.6          148.7          191.9
     23/05/2008          237.1          153.8          185.1
     24/05/2008          239.1          154.8          177.9
     25/05/2008          240.9          154.7          162.6
     26/05/2008          246.1          155.9          150.9
     27/05/2008          254.4          159.2          146.8
     28/05/2008          264.0          163.1          142.7
     29/05/2008          266.6          163.7          135.8
     30/05/2008          271.7          165.2          123.9
     31/05/2008          276.4          166.5          114.5
     01/06/2008          288.7          171.5          108.1
     02/06/2008          301.9          177.1           99.2
     03/06/2008          310.4          180.8           93.0
     04/06/2008          318.0          183.9           86.7
