ApsimVersion = 7.6
Title = Pnew soilco2
           Date  soil_root_co2
   (dd/mm/yyyy)             ()
     05/05/2008          0.000
     06/05/2008         18.318
     07/05/2008         19.323
     08/05/2008         16.307
     09/05/2008         14.826
     10/05/2008         13.094
     11/05/2008         14.902
     12/05/2008         12.604
     13/05/2008         11.581
     14/05/2008         11.064
     15/05/2008         10.943
     16/05/2008         12.015
     17/05/2008         12.998
     18/05/2008         15.196
     19/05/2008         15.125
     20/05/2008         14.978
     21/05/2008         14.253
     22/05/2008         14.045
     23/05/2008         14.104
     24/05/2008         15.751
     25/05/2008         14.638
     26/05/2008         19.256
     27/05/2008         20.285
     28/05/2008         14.455
     29/05/2008         13.855
     30/05/2008         12.226
     31/05/2008         15.060
     01/06/2008         16.787
     02/06/2008         17.472
     03/06/2008         16.895
     04/06/2008         14.279
