ApsimVersion = 7.6
Title = Pnew
           Date  AboveGroundWt  BelowGroundWt AboveGroundNPct   BelowGroundN SpeciesLiveWt(1) SpeciesLiveWt(2) SpeciesLiveWt(3) SpeciesTotalWt(1) SpeciesTotalWt(2) SpeciesTotalWt(3)      HarvestWt AboveGroundLiveN AboveGroundDeadN     watertable        OC_20cm        OC_90cm       OC_180cm      n2o_atm() nitrification()         dnit()    MaySeptNDep   MaySeptTiles    MaySeptRain  MaySeptrunoff     MaySepEvap    MaySepTrans  MaySepNnetMin    MaySepDenit MaySeptTilesNO3 MaySepResImmob  MaySepNuptake       biom_c()    surfaceom_c        fom_c()        hum_c()   surfaceom_wt AboveGroundDeadWt     Cover_dead        C_remob     LeafDeadWt LitterDepositionWt RootSenescenceWt             wf    surfaceom_n surfaceom_cover surface_CN_ratio          no3()          nh4() tf_surface_om1             es    WaterUptake            eos    Cover_green dlt_n_min_tot()    dlt_n_min() dlt_n_min_res()    PlantFixedN NitrogenDemand NitrogenSupply NitrogenUptake PlantRemobilisedN            lai      LAI_green       LAI_dead dlt_fom_c_atm() dlt_fom_c_biom() dlt_fom_c_hum() dlt_fom_c_pool1() dlt_fom_c_pool2() dlt_fom_c_pool3() dlt_fom_n_min() dlt_res_c_biom() dlt_res_c_hum() DefoliatedDigestibility       HarvestN HerbageDigestibility RootSenescenceN       roots_cn   Remaining_Wt    Surface_sot        fom_n()      nit_tot()        sot_cnr       sot_cnrf       roots_N%         oc_5cm        oc_15cm        oc_30cm        oc_60cm       oc_100cm        IntRadn       soil_co2       root_co2  soil_root_co2           sw_5          sw_10          sw_15          sw_35          sw_75           st_5          st_10          st_15          st_35          st_75 subsurface_drain       GLFwater        GLFtemp           GLFn         ToRoot       ToRootDM        sotiris         fom_cn           year subsurface_drain_no3    N_conc_mgLN    WaterUptake
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)             (%)        (kg/ha)          (kg/ha)          (kg/ha)          (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)           (mm)             ()             ()             ()        (kg/ha)         (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)            (%)        (kg/ha)        (kg/ha)            (kg/ha)          (kg/ha)          (0-1)        (kg/ha)       (m^2/m^2)               ()        (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)            (%)         (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)             ()             ()             ()         (kg/ha)          (kg/ha)         (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)         (kg/ha)          (kg/ha)         (kg/ha)                   (0-1)        (kg/ha)                (0-1)         (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()             ()             ()             ()             ()           (MJ)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)          (0-1)          (0-1)          (0-1)          (0-1)        (kg/ha)             ()             ()         (year)              (kg/ha)             ()           (mm)
     05/05/2008          150.8           99.7           2.222            1.3             46.6             46.0             46.0              50.6              50.1              50.0            0.0              3.3              0.1       2800.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3572.1           96.4          301.6       265706.3          241.0              12.2          0.006            0.0            6.1                2.8              0.0          0.783            4.8           0.048           20.000           41.3            6.5          0.606          4.242          0.645          4.333          0.120             1.0            1.0             0.0            0.0            0.1           47.1            0.1               0.0              ?          0.275          0.012             5.3              3.2             0.4               4.6               4.1               0.1            -0.0              1.7             0.2                   0.000            0.0                0.919             0.0         31.676              ?              ?           13.7        24663.2          0.013          0.677          1.263          2.980          2.465          1.705          1.258          0.556          2.953          0.000          0.000          0.000          0.268          0.246          0.244          0.252          0.252          0.000          0.000          0.000          0.000          0.000            0.000          1.000          0.930          1.000          0.386            2.3        802.905         22.000           2008                  0.0              ?          0.645
     06/05/2008          152.4          101.9           2.253            1.3             48.3             47.1             47.1              51.6              50.5              50.3            0.0              3.4              0.1       2800.000              ?              ?              ?            0.0             1.3            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3572.9           88.8          294.1       265702.9          222.0               9.9          0.005            0.0            5.0                2.2              0.0          1.000            4.4           0.044           20.177           42.8            6.2          0.887          4.827          0.719          4.827          0.123             1.0            1.0             0.0            0.0            0.1           48.2            0.1               0.0              ?          0.282          0.010             4.5              2.7             0.3               3.8               3.6               0.1            -0.0              3.1             0.3                   0.000            0.0                0.919             0.0         31.546              ?              ?           13.4        24663.8          0.012          0.677          1.268          2.980          2.465          1.705          1.258          0.556          3.139         17.727          0.591         18.318          0.211          0.242          0.243          0.251          0.252         19.454         19.963         19.834         19.491         19.067            0.000          0.989          0.977          1.000          0.365            2.2        785.183         22.000           2008                  0.0              ?          0.719
     07/05/2008          155.1          104.5           2.277            1.3             50.0             48.4             48.3              52.9              51.2              51.0            0.0              3.5              0.0       2800.000              ?              ?              ?            0.0             1.2            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3571.3           86.1          286.8       265699.3          215.3               8.3          0.004            0.0            4.2                1.8              0.1          0.832            4.2           0.043           20.335           43.7            6.1          0.463          4.122          0.339          4.122          0.127             1.0            1.0             0.0            0.0            0.2           49.0            0.2               0.0              ?          0.290          0.008             4.4              2.6             0.3               3.6               3.6               0.1            -0.0              1.2             0.1                   0.000            0.0                0.919             0.0         31.428              ?              ?           13.0        24663.7          0.012          0.677          1.273          2.980          2.465          1.705          1.258          0.556          3.130         18.638          0.685         19.323          0.367          0.360          0.353          0.264          0.251         18.735         18.580         18.524         18.477         18.351            0.000          0.991          0.744          1.000          0.366            2.6        770.383         22.000           2008                  0.0              ?          0.339
     08/05/2008          156.5          106.1           2.295            1.4             51.1             49.3             49.1              53.7              51.6              51.3            0.0              3.6              0.0       2800.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3569.5           84.4          280.2       265695.9          211.1               7.0          0.003            0.0            3.6                1.5              0.1          0.693            4.1           0.043           20.470           44.6            6.0          0.395          2.776          0.349          2.776          0.129             1.0            1.0             0.0            0.0            0.1           49.7            0.1               0.0              ?          0.295          0.007             4.0              2.4             0.3               3.2               3.4               0.1            -0.0              0.8             0.1                   0.000            0.0                0.919             0.0         31.293              ?              ?           12.7        24663.6          0.012          0.677          1.278          2.980          2.465          1.705          1.258          0.556          2.193         15.807          0.500         16.307          0.303          0.302          0.318          0.308          0.262         17.390         17.914         18.175         18.230         18.093            0.000          0.993          0.747          1.000          0.366            1.7        756.339         21.998           2008                  0.0              ?          0.349
     09/05/2008          159.4          108.0           2.305            1.4             52.7             50.2             50.0              55.0              52.3              52.0            0.0              3.6              0.0       2800.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3568.3           82.8          274.7       265692.4          206.9               6.5          0.003            0.0            3.5                1.3              0.5          0.507            4.0           0.042           20.586           45.4            5.8          0.517          3.700          0.366          3.728          0.131             0.8            0.8             0.0            0.0            0.1           50.4            0.1               0.0              ?          0.301          0.007             3.4              2.1             0.2               2.7               3.0               0.1            -0.0              0.8             0.1                   0.000            0.0                0.919             0.0         31.211              ?              ?           12.5        24663.5          0.011          0.677          1.282          2.980          2.465          1.705          1.258          0.556          2.928         14.363          0.462         14.826          0.276          0.282          0.302          0.310          0.274         16.688         16.931         17.182         17.391         17.459            0.000          0.996          0.791          1.000          0.366            2.4        742.850         21.997           2008                  0.0              ?          0.366
     10/05/2008          162.0          109.8           2.315            1.4             54.2             51.1             50.8              56.3              53.1              52.7            0.0              3.7              0.0       2800.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3566.6           79.9          268.8       265689.1          199.8               5.9          0.003            0.0            3.3                1.2              0.4          1.000            3.8           0.041           20.689           46.2            5.8          0.410          3.134          0.261          3.134          0.133             1.0            1.0             0.0            0.0            0.1           51.2            0.1               0.0              ?          0.307          0.007             3.6              2.2             0.2               2.8               3.2               0.1            -0.0              1.2             0.1                   0.000            0.0                0.919             0.0         31.096              ?              ?           12.2        24663.6          0.011          0.677          1.286          2.980          2.465          1.705          1.258          0.556          2.608         12.534          0.560         13.094          0.234          0.270          0.291          0.307          0.281         16.953         17.007         17.026         17.031         17.011            0.000          0.994          0.682          1.000          0.367            2.2        732.190         21.988           2008                  0.0              ?          0.261
     11/05/2008          164.9          111.8           2.326            1.4             55.8             52.2             51.7              57.6              53.9              53.4            0.0              3.8              0.0       2800.000              ?              ?              ?            0.0             0.9            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3564.6           78.7          263.5       265685.9          196.8               5.2          0.003            0.0            3.0                1.1              0.3          0.881            3.8           0.041           20.793           47.0            5.7          0.239          2.624          0.276          2.625          0.136             0.9            0.9             0.0            0.0            0.1           51.9            0.1               0.0              ?          0.313          0.006             3.2              1.9             0.2               2.4               2.9               0.1            -0.0              0.6             0.1                   0.000            0.0                0.919             0.0         30.996              ?              ?           12.0        24663.5          0.011          0.677          1.290          2.979          2.465          1.705          1.258          0.556          2.381         14.408          0.494         14.902          0.284          0.268          0.285          0.303          0.286         16.506         16.643         16.748         16.805         16.790            0.000          0.996          0.562          1.000          0.368            2.3        720.603         21.981           2008                  0.0              ?          0.276
     12/05/2008          167.0          113.2           2.332            1.5             57.0             52.8             52.2              58.7              54.4              53.9            0.0              3.9              0.0       2800.000              ?              ?              ?            0.0             0.9            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3563.7           76.7          259.1       265682.7          191.9               4.9          0.003            0.0            2.9                1.0              0.5          0.754            3.7           0.040           20.885           47.7            5.6          0.412          2.522          0.436          2.553          0.138             0.7            0.7             0.0            0.0            0.1           52.4            0.1               0.0              ?          0.318          0.006             2.8              1.7             0.2               2.0               2.5               0.1            -0.0              0.9             0.1                   0.000            0.0                0.919             0.0         30.898              ?              ?           11.8        24663.5          0.011          0.677          1.295          2.979          2.465          1.705          1.258          0.556          2.178         12.270          0.334         12.604          0.255          0.262          0.280          0.299          0.288         15.263         15.760         16.087         16.322         16.426            0.000          0.998          0.797          1.000          0.368            1.8        710.618         21.976           2008                  0.0              ?          0.436
     13/05/2008          171.6          116.0           2.339            1.5             59.2             54.2             53.5              60.8              55.7              55.1            0.0              4.0              0.0       2800.000              ?              ?              ?            0.0             0.7            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3562.6           75.4          254.8       265679.5          188.4               4.7          0.003            0.0            2.8                0.9              0.5          0.566            3.6           0.039           20.974           48.2            5.5          0.412          2.888          0.396          3.756          0.141             0.7            0.7             0.0            0.0            0.2           53.0            0.2               0.0              ?          0.327          0.006             2.7              1.6             0.2               1.9               2.5               0.1            -0.0              0.6             0.1                   0.000            0.0                0.920             0.0         30.825              ?              ?           11.6        24663.4          0.010          0.677          1.298          2.979          2.464          1.705          1.258          0.556          3.315         11.066          0.515         11.581          0.224          0.258          0.275          0.296          0.288         16.068         15.869         15.842         15.903         15.983            0.000          1.000          0.723          1.000          0.368            3.2        701.950         21.968           2008                  0.0              ?          0.396
     14/05/2008          176.3          118.8           2.345            1.6             61.5             55.7             54.8              62.9              57.1              56.3            0.0              4.1              0.0       2800.000              ?              ?              ?            0.0             0.8            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3561.0           74.7          250.5       265676.1          186.8               4.4          0.003            0.0            2.7                0.9              0.4          0.390            3.5           0.039           21.059           48.8            5.5          0.359          1.389          0.494          3.525          0.145             0.8            0.8            -0.0            0.0            0.2           53.5            0.2               0.0              ?          0.336          0.005             2.7              1.6             0.2               1.8               2.6               0.1            -0.0              0.4             0.0                   0.000            0.0                0.920             0.0         30.698              ?              ?           11.4        24663.2          0.010          0.677          1.303          2.979          2.464          1.705          1.258          0.556          3.200         10.541          0.523         11.064          0.188          0.253          0.271          0.293          0.288         16.632         16.457         16.306         16.151         16.026            0.000          1.000          0.742          1.000          0.369            3.3        695.044         21.959           2008                  0.0              ?          0.494
