APSIM = 7.7
 Title     date      year    day      subsurface_drain     sum_subsurface_drain    leach_    sum_leach_        
  ()        (dd/mm/yyyy)        ()      ()         (mm)                   (mm)             (kg/ha)     (kg/ha)
P      15/06/2009      2009      166      0      0      ?      0
P      18/06/2009      2009      169      0      0      ?      0
P      25/06/2009      2009      176      4.826      4.82557666666667      0.018      0.01758306727224
P      29/06/2009      2009      180      1.015      5.84081466666667      0.003      0.020807990132976
P      02/07/2009      2009      183      0.011      5.851906      ?      0.020807990132976
P      06/07/2009      2009      187      0      5.851906      ?      0.020807990132976
P      09/07/2009      2009      190      0      5.851906      ?      0.020807990132976
P      13/07/2009      2009      194      0      5.851906      ?      0.020807990132976
P      16/07/2009      2009      197      0      5.851906      ?      0.020807990132976
P      20/07/2009      2009      201      0.012      5.86367466666667      ?      0.020807990132976
P      23/07/2009      2009      204      0      5.86367466666667      ?      0.020807990132976
P      27/07/2009      2009      208      0      5.86367466666667      ?      0.020807990132976
P      30/07/2009      2009      211      0      5.86367466666667      ?      0.020807990132976
P      03/08/2009      2009      215      0      5.86367466666667      ?      0.020807990132976
P      06/08/2009      2009      218      0      5.86367466666667      ?      0.020807990132976
P      10/08/2009      2009      222      0      5.86367466666667      ?      0.020807990132976
P      17/08/2009      2009      229      3.388      9.25203466666667      ?      0.020807990132976
P      20/08/2009      2009      232      0      9.25203466666667      ?      0.020807990132976
P      24/08/2009      2009      236      ?      9.25203466666667      ?      0.020807990132976
P      15/09/2009      2009      258      0      9.25203466666667      ?      0.020807990132976
P      19/10/2009      2009      292      0      9.25203466666667      ?      0.020807990132976
P      26/10/2009      2009      299      27.641      36.892738      0.101      0.122079964396752
P      30/10/2009      2009      303      17.947      54.8402086666667      0.053      0.174913706162736
P      04/11/2009      2009      308      17.121      71.9609093333333      0.065      0.223930143413568
P      06/11/2009      2009      310      2.593      74.553572      0.01      0.233653560304176
P      11/11/2009      2009      315      0.806      75.3591753333333      0.005      0.237161113938576
P      18/11/2009      2009      322      0.168      75.527154      0.001      0.237491413695216
P      15/03/2010      2010      74      ?      0      ?      0
P      18/03/2010      2010      77      9.931      9.9314      0.023      0.02282972904
P      22/03/2010      2010      81      7.637      17.5683333333333      0.02      0.042838068168
P      25/03/2010      2010      84      2.159      19.7273333333333      0.006      0.0491545051776
P      29/03/2010      2010      88      0.914      20.6417333333333      0.004      0.0501961513104
P      01/04/2010      2010      91      0.178      20.8195333333333      0.001      0.0504250845264
P      05/04/2010      2010      95      0.042      20.8618666666667      ?      0.0504250845264
P      07/04/2010      2010      97      8.176      29.037534      0.013      0.063178839523152
P      12/04/2010      2010      102      8.741      37.778182      0.016      0.078797341839312
P      15/04/2010      2010      105      0.615      38.3935393333333      0.001      0.079080320252304
P      19/04/2010      2010      109      0.037      38.430454      0      0.079090647684048
P      22/04/2010      2010      112      0      38.4306233333333      ?      0.079090647684048
P      26/04/2010      2010      116      3.645      42.0757773333333      0.003      0.081062207821728
P      29/04/2010      2010      119      7.779      49.8549506666667      0.008      0.087242115844512
