APSIM = 7.7
Title = PF
 Title    date      year    day      subsurface_drain     leach_        
  ()       ()        ()      ()         (mm)             (kg/ha)
PF      07/02/2009      2009      38      0      ?
PF      08/03/2009      2009      67      0      ?
PF      11/04/2009      2009      101      18.955      0.14
PF      07/06/2009      2009      158      0.002      ?
PF      08/06/2009      2009      159      0      ?
PF      11/06/2009      2009      162      1.744      0.013
PF      07/09/2009      2009      250      0      ?
PF      08/10/2009      2009      281      0      ?
PF      11/11/2009      2009      315      0.802      0.015
PF      04/01/2010      2010      4      0.085      ?
PF      06/01/2010      2010      6      0      ?
PF      07/01/2010      2010      7      7.494      0.013
PF      11/01/2010      2010      11      0      ?
PF      08/02/2010      2010      39      9.724      0.009
PF      09/02/2010      2010      40      3.782      ?
PF      05/03/2010      2010      64      0.713      0.001
PF      06/03/2010      2010      65      0.002      ?
PF      10/04/2010      2010      100      0.025      ?
PF      04/05/2010      2010      124      0.008      ?
PF      08/05/2010      2010      128      16.341      0.021
PF      05/06/2010      2010      156      0.004      ?
PF      07/06/2010      2010      158      0.881      0.001
PF      04/07/2010      2010      185      9.879      0.098
PF      06/07/2010      2010      187      0.003      ?
PF      09/07/2010      2010      190      0.166      ?
PF      10/07/2010      2010      191      0      ?
PF      07/08/2010      2010      219      0.024      ?
PF      11/08/2010      2010      223      0      ?
PF      08/09/2010      2010      251      28.108      ?
PF      09/09/2010      2010      252      0.031      ?
PF      05/10/2010      2010      278      0      ?
PF      06/10/2010      2010      279      0.003      ?
PF      10/11/2010      2010      314      0      ?
PF      04/12/2010      2010      338      9.03      0.049
PF      07/12/2010      2010      341      0.003      ?
PF      04/01/2011      2011      4      ?      ?
PF      08/01/2011      2011      8      0      ?
PF      05/02/2011      2011      36      1.899      0.009
PF      06/02/2011      2011      37      0.017      ?
PF      04/04/2011      2011      94      0      ?
PF      07/05/2011      2011      127      0.009      ?
PF      06/06/2011      2011      157      0      ?
PF      07/07/2011      2011      188      0      ?
PF      09/07/2011      2011      190      0      ?
PF      04/08/2011      2011      216      0      ?
PF      05/09/2011      2011      248      0.12      ?
PF      06/09/2011      2011      249      0      ?
PF      08/09/2011      2011      251      0      ?
PF      04/11/2011      2011      308      0      ?
PF      07/11/2011      2011      311      0      ?
PF      05/12/2011      2011      339      0      ?
PF      05/03/2012      2012      65      1.326      0.004
PF      06/04/2012      2012      97      0      ?
PF      04/05/2012      2012      125      2.335      0.014
PF      05/07/2012      2012      187      3.748      0.019
PF      05/10/2012      2012      279      4.944      0.02
PF      06/12/2012      2012      341      0      ?
PF      07/01/2013      2013      7      0      ?
PF      05/03/2013      2013      64      0.247      0.001
PF      06/03/2013      2013      65      3.6      0.003
PF      07/03/2013      2013      66      0      ?
PF      05/06/2013      2013      156      9.218      0.013
PF      06/06/2013      2013      157      1.702      0.002
PF      07/08/2013      2013      219      0      ?
PF      05/09/2013      2013      248      16.516      ?
PF      05/10/2013      2013      278      7.696      ?
PF      04/11/2013      2013      308      0.067      ?
PF      06/11/2013      2013      310      1.364      0.001
PF      07/12/2013      2013      341      0      ?
PF      05/01/2014      2014      5      2.885      0.016
PF      06/02/2014      2014      37      0.086      0
PF      07/02/2014      2014      38      25.943      0.003
PF      10/02/2014      2014      41      2.861      0
PF      09/03/2014      2014      68      14.869      0.002
PF      08/04/2014      2014      98      0      ?
PF      05/05/2014      2014      125      6.507      0.023
PF      06/05/2014      2014      126      0.17      0
PF      11/05/2014      2014      131      0.072      0
PF      10/06/2014      2014      161      4.315      0.002
PF      04/08/2014      2014      216      ?      ?
PF      07/08/2014      2014      219      41.483      0.019
PF      05/09/2014      2014      248      2.085      0.004
PF      06/09/2014      2014      249      0.162      0
PF      07/10/2014      2014      280      2.451      0.002
PF      09/10/2014      2014      282      10.975      0.001
PF      10/10/2014      2014      283      0.251      0
PF      11/11/2014      2014      315      0      ?
PF      05/12/2014      2014      339      0.74      0.002
PF      06/12/2014      2014      340      0.006      ?
PF      09/12/2014      2014      343      9.101      0.001
