APSIM = 7.7
Title = PF
 Title     date         year       day      NO3Nconc subsurface_drain sum_subsurface_drain  leach_    sum_leach_     NO3Nconc_stderr   subsurface_drain_stderr     sum_subsurface_drain_stderr    leach__stderr    sum_leach__stderr        
  ()   (dd/mm/yyyy)     ()         ()         ()         (mm)            (mm)              (kg/ha)     (kg/ha)           ()                  (mm)                        (mm)                      (kg/ha)           (kg/ha)
PF      15/06/2009      2009      166      ?      0      0      ?      0      ?      0      0      ?      0
PF      18/06/2009      2009      169      ?      0.02      0.02      ?      0      ?      0.02      0.02      ?      0
PF      25/06/2009      2009      176      ?      2.87      2.89      ?      0.02      0.21      1.15      1.16      0.01      0.01
PF      29/06/2009      2009      180      ?      0.49      3.38      ?      0.02      0.37      0.2      1.34      0      0.01
PF      02/07/2009      2009      183      ?      0      3.38      ?      0.02      ?      0      1.34      ?      0.01
PF      06/07/2009      2009      187      ?      0      3.38      ?      0.02      ?      0      1.34      ?      0.01
PF      09/07/2009      2009      190      ?      0      3.38      ?      0.02      ?      0      1.34      ?      0.01
PF      13/07/2009      2009      194      ?      0      3.38      ?      0.02      ?      0      1.34      ?      0.01
PF      16/07/2009      2009      197      ?      0      3.38      ?      0.02      ?      0      1.34      ?      0.01
PF      20/07/2009      2009      201      ?      0.01      3.39      ?      0.02      ?      0.01      1.34      ?      0.01
PF      23/07/2009      2009      204      ?      0      3.39      ?      0.02      ?      0      1.34      ?      0.01
PF      27/07/2009      2009      208      ?      0      3.39      ?      0.02      ?      0      1.34      ?      0.01
PF      30/07/2009      2009      211      ?      0      3.39      ?      0.02      ?      0      1.34      ?      0.01
PF      03/08/2009      2009      215      ?      0      3.39      ?      0.02      ?      0      1.34      ?      0.01
PF      06/08/2009      2009      218      ?      0      3.39      ?      0.02      ?      0      1.34      ?      0.01
PF      10/08/2009      2009      222      ?      0      3.39      ?      0.02      ?      0      1.34      ?      0.01
PF      17/08/2009      2009      229      ?      0      3.39      ?      0.02      ?      0      1.34      ?      0.01
PF      20/08/2009      2009      232      ?      0      3.39      ?      0.02      ?      0      1.34      ?      0.01
PF      24/08/2009      2009      236      ?      ?      3.39      ?      0.02      ?      ?      1.34      ?      0.01
PF      15/09/2009      2009      258      ?      0      3.39      ?      0.02      ?      0      1.34      ?      0.01
PF      19/10/2009      2009      292      ?      0      3.39      ?      0.02      ?      0      1.34      ?      0.01
PF      26/10/2009      2009      299      1.19      31.85      35.25      0.38      0.4      0.21      5.67      6.69      0.09      0.1
PF      30/10/2009      2009      303      1.22      31.92      67.17      0.37      0.77      0.28      2.99      9.65      0.06      0.14
PF      04/11/2009      2009      308      1.37      18.96      86.13      0.28      1.05      0.4      2.42      9.82      0.11      0.2
