APSIM = 7.7
 Title     date      year    day      subsurface_drain     sum_subsurface_drain    leach_    sum_leach_        
  ()      (dd/mm/yyyy)   ()        ()     (mm)                   (mm)             (kg/ha)     (kg/ha)
PF      15/06/2009      2009      166      0      0      ?      0
PF      18/06/2009      2009      169      0.019      0.0193886666666667      ?      0
PF      25/06/2009      2009      176      2.87      2.889504      0.013      0.009535399127712
PF      29/06/2009      2009      180      0.49      3.37963933333333      0.004      0.011320972224912
PF      02/07/2009      2009      183      0      3.37963933333333      ?      0.011320972224912
PF      06/07/2009      2009      187      0.002      3.38141733333333      ?      0.011320972224912
PF      09/07/2009      2009      190      0      3.38141733333333      ?      0.011320972224912
PF      13/07/2009      2009      194      0      3.38141733333333      ?      0.011320972224912
PF      16/07/2009      2009      197      0      3.38141733333333      ?      0.011320972224912
PF      20/07/2009      2009      201      0.013      3.39487933333333      ?      0.011320972224912
PF      23/07/2009      2009      204      0      3.39487933333333      ?      0.011320972224912
PF      27/07/2009      2009      208      0      3.39487933333333      ?      0.011320972224912
PF      30/07/2009      2009      211      0      3.39487933333333      ?      0.011320972224912
PF      03/08/2009      2009      215      0      3.39487933333333      ?      0.011320972224912
PF      06/08/2009      2009      218      0      3.39487933333333      ?      0.011320972224912
PF      10/08/2009      2009      222      0      3.39487933333333      ?      0.011320972224912
PF      17/08/2009      2009      229      0      3.39487933333333      ?      0.011320972224912
PF      20/08/2009      2009      232      0      3.39487933333333      ?      0.011320972224912
PF      24/08/2009      2009      236      ?      3.39487933333333      ?      0.011320972224912
PF      15/09/2009      2009      258      0      3.39487933333333      ?      0.011320972224912
PF      19/10/2009      2009      292      0      3.39487933333333      ?      0.011320972224912
PF      26/10/2009      2009      299      31.852      35.2463946666667      0.189      0.19995537945672
PF      30/10/2009      2009      303      31.923      67.1698766666667      0.188      0.38750037406416
PF      04/11/2009      2009      308      18.955      86.1251346666667      0.14      0.527183517940128
PF      06/11/2009      2009      310      1.744      87.8693526666667      0.013      0.540599364755568
PF      11/11/2009      2009      315      0.802      88.6709766666667      0.015      0.54816625618848
PF      18/11/2009      2009      322      0.119      88.7904413333333      ?      0.54816625618848
PF      15/03/2010      2010      74      ?      0      ?      0
PF      18/03/2010      2010      77      11.32      11.3199333333333      0.043      0.04253282388
PF      22/03/2010      2010      81      7.815      19.1346666666667      0.031      0.0734765396256
PF      25/03/2010      2010      84      1.626      20.7602666666667      0.009      0.079954925688
PF      29/03/2010      2010      88      0.415      21.1751333333333      0.012      0.0828606817296
PF      01/04/2010      2010      91      0.085      21.2598      ?      0.0828606817296
PF      05/04/2010      2010      95      0.008      21.2682666666667      ?      0.0828606817296
PF      07/04/2010      2010      97      9.879      31.147004      0.098      0.181299183494976
PF      12/04/2010      2010      102      9.03      40.1770426666667      0.049      0.230272839910944
PF      15/04/2010      2010      105      0.361      40.5379766666667      0.01      0.232811251409952
PF      19/04/2010      2010      109      0.031      40.5693033333333      ?      0.232811251409952
PF      22/04/2010      2010      112      0      40.5693033333333      ?      0.232811251409952
PF      26/04/2010      2010      116      0.57      41.13911      0.001      0.233863966887696
PF      29/04/2010      2010      119      4.739      45.878242      0.012      0.245878500769488
PF      03/05/2010      2010      123      0.713      46.5908813333333      0.001      0.247001329164384
PF      06/05/2010      2010      126      0.004      46.5951993333333      ?      0.247001329164384
PF      10/05/2010      2010      130      0      46.5951993333333      ?      0.247001329164384
PF      14/05/2010      2010      134      12.328      58.9227506666667      0.018      0.265494957105744
PF      17/05/2010      2010      137      5.288      64.2106073333333      0.011      0.276131546199936
PF      20/05/2010      2010      140      0.264      64.4750213333333      ?      0.276131546199936
PF      24/05/2010      2010      144      0.001      64.475614      ?      0.276131546199936
PF      27/05/2010      2010      147      0      64.475614      ?      0.276131546199936
PF      01/06/2010      2010      152      0      64.4757833333333      ?      0.276131546199936
PF      03/06/2010      2010      154      0.002      64.4774766666667      ?      0.276131546199936
PF      07/06/2010      2010      158      0.003      64.480186      ?      0.276131546199936
PF      10/06/2010      2010      161      0.003      64.4830646666667      ?      0.276131546199936
PF      14/06/2010      2010      165      15.259      79.7423686666667      0.019      0.2951877605616
PF      17/06/2010      2010      168      9.318      89.0606973333333      0.012      0.307153374806736
PF      21/06/2010      2010      172      1.538      90.5991753333333      0      0.307516882598208
PF      24/06/2010      2010      175      0.009      90.6078113333333      ?      0.307516882598208
PF      28/06/2010      2010      179      19.685      110.292472666667      0.051      0.333185027398272
PF      01/07/2010      2010      182      7.494      117.786912      0.013      0.345860292217968
PF      06/07/2010      2010      187      0.881      118.668122666667      0.001      0.346802293048752
PF      08/07/2010      2010      189      0.024      118.692252666667      ?      0.346802293048752
PF      12/07/2010      2010      193      0.003      118.695046666667      ?      0.346802293048752
PF      15/07/2010      2010      196      0      118.695046666667      ?      0.346802293048752
PF      19/07/2010      2010      200      12.454      131.149005333333      0.021      0.368186859965232
PF      22/07/2010      2010      203      6.214      137.362522666667      0.009      0.374737928084208
PF      26/07/2010      2010      207      0.105      137.467932666667      0      0.37476064334664
PF      29/07/2010      2010      210      0      137.468017333333      ?      0.37476064334664
PF      02/08/2010      2010      214      9.724      147.191814666667      0.009      0.383330342816208
PF      05/08/2010      2010      217      16.341      163.532989333333      0.021      0.4043521268964
PF      09/08/2010      2010      221      28.108      191.640968      ?      0.4043521268964
PF      16/08/2010      2010      228      7.085      198.725536      0.009      0.413241175483776
PF      19/08/2010      2010      231      0.134      198.859394      0      0.413250850031904
PF      23/08/2010      2010      235      0.011      198.870654666667      ?      0.413250850031904
PF      26/08/2010      2010      238      0      198.870654666667      ?      0.413250850031904
PF      02/09/2010      2010      245      3.782      202.652545333333      ?      0.413250850031904
PF      07/09/2010      2010      250      0.166      202.818322666667      ?      0.413250850031904
PF      09/09/2010      2010      252      0.031      202.848972      ?      0.413250850031904
PF      13/09/2010      2010      256      0      202.848972      ?      0.413250850031904
PF      16/09/2010      2010      259      0      202.848972      ?      0.413250850031904
PF      20/09/2010      2010      263      0      202.848972      ?      0.413250850031904
PF      23/09/2010      2010      266      41.099      243.948034666667      0.045      0.45834172279344
PF      27/09/2010      2010      270      45.132      289.080532666667      0.019      0.472933192547088
PF      30/09/2010      2010      273      3.051      292.13175      0.004      0.476080354425456
PF      04/10/2010      2010      277      0.025      292.156642      ?      0.476080354425456
PF      07/10/2010      2010      280      0      292.156642      ?      0.476080354425456
PF      11/10/2010      2010      284      0      292.156642      ?      0.476080354425456
PF      25/10/2010      2010      298      0      292.156642      ?      0.476080354425456
PF      01/11/2010      2010      305      0      292.156642      ?      0.476080354425456
PF      08/11/2010      2010      312      0      292.156642      ?      0.476080354425456
PF      17/11/2010      2010      321      8.62      300.777063333333      0.013      0.485470313128944
PF      23/11/2010      2010      327      0.002      300.778756666667      ?      0.485470313128944
PF      01/04/2011      2011      91      ?      0      ?      0
PF      04/04/2011      2011      94      0      0      ?      0
PF      08/04/2011      2011      98      0      0      ?      0
PF      11/04/2011      2011      101      0      0      ?      0
PF      15/04/2011      2011      105      0.003      0.00287866666666667      ?      0
PF      18/04/2011      2011      108      3.17      3.17313733333333      0.021      0.01037790303912
PF      22/04/2011      2011      112      15.23      14.595602      0.088      0.076146630118848
PF      25/04/2011      2011      115      1.981      16.5767173333333      0.01      0.086444665142112
PF      29/04/2011      2011      119      29.263      45.8399726666667      0.126      0.212178255283584
PF      02/05/2011      2011      122      1.899      47.738538      0.009      0.22149152983872
PF      09/05/2011      2011      129      0.12      47.8583413333333      ?      0.22149152983872
PF      12/05/2011      2011      132      0      47.8583413333333      ?      0.22149152983872
PF      17/05/2011      2011      137      0.145      48.0028673333333      ?      0.22149152983872
PF      19/05/2011      2011      139      0.011      48.0137893333333      ?      0.22149152983872
PF      23/05/2011      2011      143      14.531      62.5443673333333      0.083      0.30407950547352
PF      26/05/2011      2011      146      21.628      84.172298      0.116      0.419812521150384
PF      31/05/2011      2011      151      8.612      92.7842526666667      0.058      0.478065502173456
PF      02/06/2011      2011      153      0.017      92.8013553333333      ?      0.478065502173456
PF      06/06/2011      2011      157      0      92.8013553333333      ?      0.478065502173456
PF      09/06/2011      2011      160      0      92.8013553333333      ?      0.478065502173456
PF      14/06/2011      2011      165      22.024      114.825102666667      0.068      0.546016454584128
PF      16/06/2011      2011      167      4.446      119.271542      0.014      0.560266534038672
PF      20/06/2011      2011      171      0.509      119.780558      0.001      0.561012296708304
PF      22/06/2011      2011      173      9.322      129.102612      0.03      0.591254120171664
PF      27/06/2011      2011      178      4.15      133.252972      0.011      0.602544970720656
PF      30/06/2011      2011      181      3.152      136.405450666667      0.007      0.607741110319248
PF      05/07/2011      2011      186      0.009      136.414340666667      ?      0.607741110319248
PF      07/07/2011      2011      188      0      136.414340666667      ?      0.607741110319248
PF      11/07/2011      2011      192      0      136.414340666667      ?      0.607741110319248
PF      14/07/2011      2011      195      0      136.414340666667      ?      0.607741110319248
PF      25/07/2011      2011      206      0      136.414340666667      ?      0.607741110319248
PF      01/08/2011      2011      213      0      136.414340666667      ?      0.607741110319248
PF      09/08/2011      2011      221      0      136.414340666667      ?      0.607741110319248
PF      23/08/2011      2011      235      0      136.414340666667      ?      0.607741110319248
PF      31/08/2011      2011      243      0      136.414340666667      ?      0.607741110319248
PF      07/09/2011      2011      250      0      136.414340666667      ?      0.607741110319248
PF      22/03/2012      2012      82      ?      0      ?      0
PF      29/03/2012      2012      89      5.781      5.78146333333333      0.011      0.011420117265456
PF      05/04/2012      2012      96      2.335      8.11665466666667      0.014      0.025559172589248
PF      17/04/2012      2012      108      19.143      27.260042      0.23      0.255217352252256
PF      20/04/2012      2012      111      3.653      30.9126466666667      0.014      0.26924271679728
PF      24/04/2012      2012      115      3.497      34.409634      0.014      0.283335222367152
PF      03/05/2012      2012      124      1.326      45.0950753333333      0.004      0.328953010362336
PF      07/05/2012      2012      128      3.748      38.1580813333333      0.019      0.302275499012928
PF      10/05/2012      2012      131      4.944      43.1015986666667      0.02      0.32259517883568
PF      14/05/2012      2012      135      0.662      43.7637766666667      0.002      0.324536210305056
PF      17/05/2012      2012      138      0.003      43.7666553333333      ?      0.324536210305056
PF      21/05/2012      2012      142      0      43.7666553333333      ?      0.324536210305056
PF      29/05/2012      2012      150      0      43.7668246666667      ?      0.324536210305056
PF      04/06/2012      2012      156      0      43.7668246666667      ?      0.324536210305056
PF      12/06/2012      2012      164      0      43.7668246666667      ?      0.324536210305056
PF      18/06/2012      2012      170      0      43.7668246666667      ?      0.324536210305056
PF      25/06/2012      2012      177      0      43.7668246666667      ?      0.324536210305056
PF      16/07/2012      2012      198      0.002      43.7689413333333      ?      0.324536210305056
PF      11/04/2013      2013      101      0.067      0.06731      ?      0
PF      19/04/2013      2013      109      0.883      0.950637333333333      0.004      0.003253641260832
PF      23/04/2013      2013      113      0.169      1.119886      0      0.00338511675888
PF      30/04/2013      2013      120      0.086      1.20582266666667      0      0.00341093533824
PF      03/05/2013      2013      123      0.247      1.45254133333333      0.001      0.004051346333472
PF      06/05/2013      2013      126      9.218      8.36582866666667      0.013      0.014034996698112
PF      09/05/2013      2013      129      16.516      24.8821786666667      ?      0.014034996698112
PF      10/05/2013      2013      130      7.696      32.5783786666667      ?      0.014034996698112
PF      13/05/2013      2013      133      13.755      46.3332406666667      0.064      0.077617195350336
PF      16/05/2013      2013      136      3.97      50.30343      0.009      0.086292929054448
PF      20/05/2013      2013      140      0.961      51.264566      0.001      0.0870095663316
PF      24/05/2013      2013      144      0.319      51.5839286666667      0      0.08725829803128
PF      28/05/2013      2013      148      9.923      61.5070313333333      0.015      0.102503685839904
PF      31/05/2013      2013      151      7.03      68.537328      0.005      0.107827061432544
PF      03/06/2013      2013      154      3.6      68.277232      0.003      0.102575786236531
PF      06/06/2013      2013      157      1.702      82.1726124444444      0.002      0.127333033468224
PF      11/06/2013      2013      162      1.364      75.6776066666667      0.001      0.113588687272176
PF      13/06/2013      2013      164      0.047      75.72502      0      0.113654925282672
PF      17/06/2013      2013      168      0.005      75.730354      ?      0.113654925282672
PF      20/06/2013      2013      171      0      75.730354      ?      0.113654925282672
PF      24/06/2013      2013      175      0      75.730354      ?      0.113654925282672
PF      27/06/2013      2013      178      0      75.730354      ?      0.113654925282672
PF      01/07/2013      2013      182      0      75.730354      ?      0.113654925282672
PF      03/07/2013      2013      184      0      75.730354      ?      0.113654925282672
PF      08/07/2013      2013      189      0      75.730354      ?      0.113654925282672
PF      12/07/2013      2013      193      0      75.730354      ?      0.113654925282672
PF      08/04/2014      2014      98      ?      0      ?      0
PF      14/04/2014      2014      104      0      0      ?      0
PF      24/04/2014      2014      114      0      0      ?      0
PF      01/05/2014      2014      121      2.885      2.885186      0.016      0.015540037576128
PF      05/05/2014      2014      125      6.507      9.392666      0.023      0.038471620699728
PF      09/05/2014      2014      129      2.085      11.4778366666667      0.004      0.042170910142032
PF      12/05/2014      2014      132      0.74      12.2178233333333      0.002      0.043849198351008
PF      15/05/2014      2014      135      4.648      16.8660233333333      0.011      0.055146200420304
PF      21/05/2014      2014      141      21.159      38.0246466666667      0.046      0.089477534232144
PF      23/05/2014      2014      143      9.601      47.6258466666667      0.011      0.1009446040044
PF      27/05/2014      2014      147      5.266      52.8921133333333      0.006      0.106706314634112
PF      30/05/2014      2014      150      1.226      54.117748      0.001      0.107590242739104
PF      02/06/2014      2014      153      0.086      54.2035153333333      0      0.107594465285088
PF      05/06/2014      2014      156      0.17      54.3734413333333      0      0.107715193640496
