ApsimVersion = 7.4
Title	year	Date	soil_co2
()	(year)	(dd/mm/yyyy)	(kg/ha)
P	2008	15/07/2008	35.9282
P	2008	15/07/2008	47.63986
P	2008	15/07/2008	36.60477
P	2008	15/07/2008	50.8594
P	2008	21/07/2008	29.25582
P	2008	21/07/2008	84.64124
P	2008	21/07/2008	83.87135
P	2008	21/07/2008	57.95172
P	2008	29/07/2008	38.9611
P	2008	29/07/2008	73.69947
P	2008	29/07/2008	66.67714
P	2008	29/07/2008	67.79698
P	2008	4/8/2008	35.36828
P	2008	4/8/2008	47.17326
P	2008	4/8/2008	45.7268
P	2008	4/8/2008	55.17545
P	2008	11/8/2008	25.663
P	2008	11/8/2008	33.19859
P	2008	11/8/2008	57.01852
P	2008	11/8/2008	43.88373
P	2008	18/08/2008	31.86878
P	2008	18/08/2008	39.56768
P	2008	18/08/2008	41.27077
P	2008	18/08/2008	48.24644
P	2008	3/9/2008	28.83588
P	2008	3/9/2008	39.47436
P	2008	3/9/2008	37.67795
P	2008	3/9/2008	65.34733
P	2008	9/9/2008	17.80079
P	2008	9/9/2008	22.42013
P	2008	9/9/2008	30.49231
P	2008	9/9/2008	37.30467
P	2008	16/09/2008	20.18045
P	2008	16/09/2008	24.07656
P	2008	16/09/2008	28.78922
P	2008	16/09/2008	44.14036
P	2008	25/09/2008	18.78065
P	2008	25/09/2008	26.64286
P	2008	25/09/2008	36.13817
P	2008	25/09/2008	36.79141
P	2008	30/09/2008	11.71166
P	2008	30/09/2008	17.87078
P	2008	30/09/2008	22.23349
P	2008	30/09/2008	28.06599
P	2009	19/05/2009	42.97386
P	2009	19/05/2009	34.62172
P	2009	19/05/2009	48.7597
P	2009	19/05/2009	39.10108
P	2009	29/05/2009	62.50107
P	2009	29/05/2009	44.23368
P	2009	29/05/2009	53.4257
P	2009	29/05/2009	58.11503
P	2009	5/6/2009	40.26758
P	2009	5/6/2009	35.29829
P	2009	5/6/2009	35.97486
P	2009	5/6/2009	44.88692
P	2009	12/6/2009	42.2273
P	2009	12/6/2009	36.76808
P	2009	12/6/2009	44.60696
P	2009	12/6/2009	53.91563
P	2009	25/06/2009	74.25939
P	2009	25/06/2009	53.58901
P	2009	25/06/2009	61.1246
P	2009	25/06/2009	87.83745
P	2009	1/7/2009	44.02371
P	2009	1/7/2009	46.72999
P	2009	1/7/2009	40.75751
P	2009	1/7/2009	57.32181
P	2009	8/7/2009	38.33119
P	2009	8/7/2009	36.81474
P	2009	8/7/2009	36.8614
P	2009	8/7/2009	51.06937
P	2009	15/07/2009	72.25301
P	2009	15/07/2009	41.17745
P	2009	15/07/2009	60.09808
P	2009	15/07/2009	57.57844
P	2009	24/07/2009	77.94553
P	2009	24/07/2009	64.22749
P	2009	24/07/2009	45.58682
P	2009	24/07/2009	106.17483
P	2009	31/07/2009	41.83069
P	2009	31/07/2009	34.22511
P	2009	31/07/2009	27.24944
P	2009	31/07/2009	60.98462
P	2009	4/8/2009	55.57206
P	2009	4/8/2009	50.04285
P	2009	4/8/2009	96.5862
P	2009	4/8/2009	93.64662
P	2009	13/08/2009	62.08113
P	2009	13/08/2009	46.47336
P	2009	13/08/2009	64.11084
P	2009	13/08/2009	64.81074
P	2009	21/08/2009	26.57287
P	2009	21/08/2009	33.24525
P	2009	21/08/2009	38.44784
P	2009	21/08/2009	37.328
P	2009	29/08/2009	27.15612
P	2009	29/08/2009	35.08832
P	2009	29/08/2009	63.85421
P	2009	29/08/2009	49.31962
P	2009	3/9/2009	37.0947
P	2009	3/9/2009	35.01833
P	2009	3/9/2009	29.32581
P	2009	3/9/2009	33.40856
P	2009	10/9/2009	32.662
P	2009	10/9/2009	32.21873
P	2009	10/9/2009	29.06918
P	2009	10/9/2009	32.59201
P	2009	17/09/2009	34.27177
P	2009	17/09/2009	29.83907
P	2009	17/09/2009	25.77965
P	2009	17/09/2009	24.7298
P	2009	24/09/2009	42.88054
P	2009	24/09/2009	38.16788
P	2009	24/09/2009	34.20178
P	2009	24/09/2009	34.50507
P	2010	21/05/2010	30.95891
P	2010	21/05/2010	32.91863
P	2010	21/05/2010	42.6939
P	2010	21/05/2010	38.75113
P	2010	27/05/2010	31.42551
P	2010	27/05/2010	35.60158
P	2010	27/05/2010	58.60496
P	2010	27/05/2010	29.8624
P	2010	6/6/2010	60.05142
P	2010	6/6/2010	57.53178
P	2010	6/6/2010	50.29948
P	2010	6/6/2010	64.57744
P	2010	11/6/2010	45.7268
P	2010	11/6/2010	44.44365
P	2010	11/6/2010	42.25063
P	2010	11/6/2010	45.42351
P	2010	15/06/2010	64.99738
P	2010	15/06/2010	59.53816
P	2010	15/06/2010	43.58044
P	2010	15/06/2010	31.77546
P	2010	23/06/2010	27.01614
P	2010	23/06/2010	20.81036
P	2010	23/06/2010	30.11903
P	2010	23/06/2010	28.90587
P	2010	29/06/2010	43.83707
P	2010	29/06/2010	40.96748
P	2010	29/06/2010	37.11803
P	2010	29/06/2010	35.06499
P	2010	8/7/2010	55.17545
P	2010	8/7/2010	39.82431
P	2010	8/7/2010	37.98124
P	2010	8/7/2010	44.35033
P	2010	21/07/2010	72.48631
P	2010	21/07/2010	67.96029
P	2010	21/07/2010	56.15531
P	2010	21/07/2010	62.78103
P	2010	28/07/2010	51.0927
P	2010	28/07/2010	69.99
P	2010	28/07/2010	61.49788
P	2010	28/07/2010	65.13736
P	2010	6/8/2010	45.05023
P	2010	6/8/2010	44.93358
P	2010	6/8/2010	24.70647
P	2010	6/8/2010	31.2622
P	2010	19/08/2010	40.33757
P	2010	19/08/2010	45.05023
P	2010	19/08/2010	34.69171
P	2010	19/08/2010	43.72042
P	2010	26/08/2010	42.01733
P	2010	26/08/2010	55.59539
P	2010	26/08/2010	69.12679
P	2010	26/08/2010	45.54016
P	2010	30/08/2010	53.86897
P	2010	30/08/2010	56.76189
P	2010	30/08/2010	66.18721
P	2010	30/08/2010	65.16069
P	2010	8/9/2010	24.09989
P	2010	8/9/2010	28.43927
P	2010	8/9/2010	22.88673
P	2010	8/9/2010	32.03209
P	2010	13/09/2010	37.70128
P	2010	13/09/2010	44.23368
P	2010	13/09/2010	33.92182
P	2010	13/09/2010	27.87935
P	2010	24/09/2010	21.18364
P	2010	24/09/2010	24.2632
P	2010	24/09/2010	16.30767
P	2010	24/09/2010	18.75732
P	2011	9/5/2011	25.84964
P	2011	9/5/2011	25.70966
P	2011	9/5/2011	26.85283
P	2011	9/5/2011	11.03509
P	2011	17/05/2011	19.5972
P	2011	17/05/2011	23.5633
P	2011	17/05/2011	21.06699
P	2011	17/05/2011	18.10408
P	2011	24/05/2011	31.09889
P	2011	24/05/2011	39.47436
P	2011	24/05/2011	47.26658
P	2011	24/05/2011	34.55173
P	2011	1/6/2011	25.56968
P	2011	1/6/2011	28.48593
P	2011	1/6/2011	45.51683
P	2011	1/6/2011	33.78184
P	2011	16/06/2011	30.49231
P	2011	16/06/2011	44.60696
P	2011	16/06/2011	51.16269
P	2011	16/06/2011	41.92401
P	2011	24/06/2011	32.17207
P	2011	24/06/2011	49.94953
P	2011	24/06/2011	41.22411
P	2011	24/06/2011	32.80198
P	2011	29/06/2011	36.09151
P	2011	29/06/2011	53.47236
P	2011	29/06/2011	57.90506
P	2011	29/06/2011	48.92301
P	2011	6/7/2011	42.60058
P	2011	6/7/2011	64.11084
P	2011	6/7/2011	54.05561
P	2011	6/7/2011	47.98981
P	2011	13/07/2011	47.26658
P	2011	13/07/2011	64.06418
P	2011	13/07/2011	43.83707
P	2011	13/07/2011	45.7268
P	2011	22/07/2011	22.79341
P	2011	22/07/2011	72.27634
P	2011	22/07/2011	74.32938
P	2011	22/07/2011	68.47355
P	2011	4/8/2011	53.02909
P	2011	4/8/2011	33.66519
P	2011	4/8/2011	45.93677
P	2011	4/8/2011	43.23049
P	2011	11/8/2011	39.07775
P	2011	11/8/2011	60.8913
P	2011	11/8/2011	57.57844
P	2011	11/8/2011	32.49869
P	2011	19/08/2011	47.00995
P	2011	19/08/2011	66.16388
P	2011	19/08/2011	47.5932
P	2011	19/08/2011	39.38104
P	2011	25/08/2011	34.92501
P	2011	25/08/2011	48.68971
P	2011	25/08/2011	42.6939
P	2011	25/08/2011	37.63129
P	2011	7/9/2011	21.76689
P	2011	7/9/2011	30.49231
P	2011	7/9/2011	33.96848
P	2011	7/9/2011	26.47955
P	2011	15/09/2011	13.50807
P	2011	15/09/2011	15.81774
P	2011	15/09/2011	16.84426
P	2011	15/09/2011	17.10089
P	2011	20/09/2011	26.08294
P	2011	20/09/2011	34.85502
P	2011	20/09/2011	30.46898
P	2011	20/09/2011	30.46898
P	2011	28/09/2011	15.23449
P	2011	28/09/2011	19.55054
P	2011	28/09/2011	22.07018
P	2011	28/09/2011	19.34057
