ApsimVersion = 7.4
Title	subsurface_drain	Date
()	(mm)	(dd/mm/yyyy)
P	7.789333333	22/10/2009
P	11.76866667	23/10/2009
P	4.910666667	24/10/2009
P	2.116666665	25/10/2009
P	1.524	26/10/2009
P	1.015999999	27/10/2009
P	0.592666668	28/10/2009
P	10.49866667	29/10/2009
P	8.551333332	30/10/2009
P	5.418666667	31/10/2009
P	3.725333336	1/11/2009
P	2.455333331	2/11/2009
P	1.778000002	3/11/2009
P	1.27	4/11/2009
P	0.931333335	5/11/2009
P	0.762000001	6/11/2009
P	0.508000002	7/11/2009
P	0.338666668	8/11/2009
P	0.084666667	9/11/2009
P	0.084666667	10/11/2009
P	0.084666667	11/11/2009
P	0.084666667	12/11/2009
P	0	13/11/2009
P	0	14/11/2009
P	0.084666667	15/11/2009
P	0	16/11/2009
P	0	17/11/2009
P	0	18/11/2009
P	0	19/11/2009
P	0	20/11/2009
P	0	21/11/2009
P	0	22/11/2009
P	0	23/11/2009
P	0.084666667	24/11/2009
P	0.423333334	25/11/2009
P	0.762000001	26/11/2009
P	0.592666668	27/11/2009
P	0.423333334	28/11/2009
P	0.254000001	29/11/2009
P	0	30/11/2009
P	0.169333334	1/12/2009
P	0	2/12/2009
P	0	3/12/2009
P	0	4/12/2009
P	0	5/12/2009
P	0	6/12/2009
P	0	7/12/2009
P	9.313333333	10/3/2010
P	30.226	11/3/2010
P	13.03866667	12/3/2010
P	6.942666666	13/03/2010
P	4.148666666	14/03/2010
P	2.455333334	15/03/2010
P	2.032	16/03/2010
P	5.418666664	17/03/2010
P	3.725333335	18/03/2010
P	2.285999999	19/03/2010
P	1.693333333	20/03/2010
P	1.185333334	21/03/2010
P	1.100666668	22/03/2010
P	0.846666669	23/03/2010
P	0.508000001	24/03/2010
P	0.423333333	25/03/2010
P	0.423333335	26/03/2010
P	0.169333334	27/03/2010
P	0.169333334	28/03/2010
P	0.084666667	29/03/2010
P	0.084666667	30/03/2010
P	0	31/03/2010
P	0.084666667	1/4/2010
P	0	2/4/2010
P	0	3/4/2010
P	0	4/4/2010
P	0	5/4/2010
P	6.180666667	6/4/2010
P	3.640666667	7/4/2010
P	2.878666668	8/4/2010
P	1.947333335	9/4/2010
P	1.185333334	10/4/2010
P	0.762000001	11/4/2010
P	0.592666669	12/4/2010
P	0.169333333	13/04/2010
P	0.169333334	14/04/2010
P	0	15/04/2010
P	0.084666667	16/04/2010
P	0	17/04/2010
P	0	18/04/2010
P	0	19/04/2010
P	0	20/04/2010
P	0	21/04/2010
P	0	22/04/2010
P	0	23/04/2010
P	0.508	24/04/2010
P	1.100666668	25/04/2010
P	3.386666666	26/04/2010
P	3.302	27/04/2010
P	2.116666667	28/04/2010
P	1.439333334	29/04/2010
P	0.762000001	30/04/2010
P	0.592666668	1/5/2010
P	0.338666667	2/5/2010
P	0.084666667	3/5/2010
P	0	4/5/2010
P	0	5/5/2010
P	0	6/5/2010
P	0	7/5/2010
P	0	8/5/2010
P	0	9/5/2010
P	0	10/5/2010
P	0.762000001	11/5/2010
P	4.826	12/5/2010
P	10.75266667	13/05/2010
P	4.910666667	14/05/2010
P	2.709333332	15/05/2010
P	1.524000001	16/05/2010
P	0.846666668	17/05/2010
P	0.338666668	18/05/2010
P	0.084666667	19/05/2010
P	0	20/05/2010
P	0	21/05/2010
P	0	22/05/2010
P	0	23/05/2010
P	0	24/05/2010
P	0	25/05/2010
P	0	26/05/2010
P	0	27/05/2010
P	0	28/05/2010
P	0	29/05/2010
P	0	30/05/2010
P	0	31/05/2010
P	0	1/6/2010
P	0	2/6/2010
P	0	3/6/2010
P	0	4/6/2010
P	0	5/6/2010
P	0	6/6/2010
P	0	7/6/2010
P	0	8/6/2010
P	0	9/6/2010
P	0.084666667	10/6/2010
P	0	11/6/2010
P	11.59933333	12/6/2010
P	11.43	13/06/2010
P	6.180666667	14/06/2010
P	3.979333333	15/06/2010
P	2.116666665	16/06/2010
P	0.931333335	17/06/2010
P	0.931333335	18/06/2010
P	1.27	19/06/2010
P	0.592666667	20/06/2010
P	0.423333335	21/06/2010
P	0	22/06/2010
P	0.084666667	23/06/2010
P	0	24/06/2010
P	0	25/06/2010
P	16.34066667	26/06/2010
P	11.09133333	27/06/2010
P	6.434666666	28/06/2010
P	3.302	29/06/2010
P	1.523999999	30/06/2010
P	0.508000001	1/7/2010
P	0.169333333	2/7/2010
P	0	3/7/2010
P	0.592666667	4/7/2010
P	1.100666667	5/7/2010
P	0.592666668	6/7/2010
P	0.084666667	7/7/2010
P	0	8/7/2010
P	0	9/7/2010
P	0	10/7/2010
P	0	11/7/2010
P	0	12/7/2010
P	0	13/07/2010
P	0	14/07/2010
P	0	15/07/2010
P	0	16/07/2010
P	0	17/07/2010
P	9.482666668	18/07/2010
P	6.096	19/07/2010
P	3.471333332	20/07/2010
P	1.185333334	21/07/2010
P	0.592666667	22/07/2010
P	0.084666667	23/07/2010
P	0	24/07/2010
P	0	25/07/2010
P	0	26/07/2010
P	0	27/07/2010
P	0	28/07/2010
P	0	29/07/2010
P	5.334	30/07/2010
P	2.116666668	31/07/2010
P	0.508000001	1/8/2010
P	0.084666667	2/8/2010
P	3.047999999	3/8/2010
P	11.85333333	4/8/2010
P	4.233333334	5/8/2010
P	1.608666668	6/8/2010
P	7.789333333	7/8/2010
P	4.063999999	8/8/2010
P	6.519333333	9/8/2010
P	1.693333334	10/8/2010
P	1.439333333	11/8/2010
P	0	12/8/2010
P	3.81	13/08/2010
P	3.386666669	14/08/2010
P	1.524000001	15/08/2010
P	0.508000001	16/08/2010
P	0.084666667	17/08/2010
P	0	18/08/2010
P	0	19/08/2010
P	0	20/08/2010
P	0	21/08/2010
P	0	22/08/2010
P	0	23/08/2010
P	0	24/08/2010
P	0	25/08/2010
P	0	26/08/2010
P	0	27/08/2010
P	0	28/08/2010
P	0	29/08/2010
P	0	30/08/2010
P	2.455333333	31/08/2010
P	0.169333334	1/9/2010
P	0	2/9/2010
P	0	3/9/2010
P	0	4/9/2010
P	0	5/9/2010
P	0	6/9/2010
P	0.084666667	7/9/2010
P	0	8/9/2010
P	0	9/9/2010
P	0	10/9/2010
P	0	11/9/2010
P	0	12/9/2010
P	0	13/09/2010
P	0	14/09/2010
P	0	15/09/2010
P	0	16/09/2010
P	0	17/09/2010
P	0	18/09/2010
P	0	19/09/2010
P	0	20/09/2010
P	12.446	21/09/2010
P	7.789333334	22/09/2010
P	7.789333335	23/09/2010
P	10.75266667	24/09/2010
P	9.397999999	25/09/2010
P	6.688666667	26/09/2010
P	3.048000001	27/09/2010
P	1.354666668	28/09/2010
P	0.592666668	29/09/2010
P	0.084666667	30/09/2010
P	0	1/10/2010
P	0	2/10/2010
P	0	3/10/2010
P	0	4/10/2010
P	0	5/10/2010
P	0	6/10/2010
P	0	7/10/2010
P	0	8/10/2010
P	0	9/10/2010
P	0	10/10/2010
P	0	11/10/2010
P	0	12/11/2010
P	5.249333334	13/11/2010
P	2.116666665	14/11/2010
P	0.931333335	15/11/2010
P	0.423333334	16/11/2010
P	0.084666667	17/11/2010
P	0	18/11/2010
P	0	19/11/2010
P	0	20/11/2010
P	0	21/11/2010
P	0	22/11/2010
P	0	23/11/2010
P	0	24/11/2010
P	0.084666667	15/04/2011
P	2.455333333	16/04/2011
P	1.693333333	17/04/2011
P	1.016000001	18/04/2011
P	4.910666668	19/04/2011
P	4.572000002	20/04/2011
