ApsimVersion = 7.4
Title	Date	year	HarvestWt	LitterDepositionWt	BelowGroundWt
()	(dd/mm/yyyy)	()	(kg/ha)	(kg/ha)	()
P	16/10/2008	2008	3090	3090	1680
P	16/10/2008	2008	3340	3340	1340
P	16/10/2008	2008	4080	4080	1280
P	16/10/2008	2008	4240	4240	3020
P	13/10/2009	2009	8600	2490	5570
P	13/10/2009	2009	10240	3990	7960
P	13/10/2009	2009	10330	3060	5790
P	13/10/2009	2009	9610	2860	5540
P	28/09/2010	2010	9940	2030	11740
P	28/09/2010	2010	8090	690		6910
P	28/09/2010	2010	8860	1560	8720
P	28/09/2010	2010	9510	1240	8510
P	29/09/2011	2011	7120	1860	8470
P	29/09/2011	2011	7210	1860	9200
P	29/09/2011	2011	6800	2000	8890
P	29/09/2011	2011	7850	2530	9470
P   15/10/2012  2012    4730    2265    11380
P   15/10/2012  2012    4778    2065    13037
P   15/10/2012  2012    4723    1930    10225
P   15/10/2012  2012    4535    1460    9546
P   28/10/2013  2012    5753    1690    7505
P   28/10/2013  2012    6012    1760    10445
P   28/10/2013  2012    5972    1640    15111
P   28/10/2013  2012    6716    2320    13343
