ApsimVersion = 7.4
Title	year	day	Date	AbovegroundNPct	BelowGroundN	AboveGroundWt	BelowGroundWt
()	(year)	()	(dd/mm/yyyy)	(%)	(%)	(kg/ha)	(kg/ha)
P	2009	119	29/4/2009	?	?	421.4	?
P	2009	125	5/5/2009	?	?	648.3	?
P	2009	138	18/05/2009	?	?	1867.6	?
P	2009	152	1/6/2009	?	?	2895.9	?
P	2009	166	15/6/2009	?	?	6399.6	?
P	2009	180	29/6/2009	?	?	7953.1	?
P	2009	194	16/7/2009	?	?	9506.7	?
P	2009	208	27/7/2009	?	?	10542.4	?
P	2009	224	12/8/2009	?	?	10192	?
P	2009	237	25/8/2009	?	?	8861.6	?
P	2009	253	10/9/2009	?	?	10075.9	?
P	2009	267	24/9/2009	?	?	13209.8	?
P	2009	286	13/10/2009	?	?	9695.3	?
P	2010	0	31/12/2009	0	?	?	?
P	2010	88	29/03/2010	2.4225	?	36.5	?
P	2010	101	11/4/2010	?	?	?	0
P	2010	102	12/4/2010	2.7775	?	124.525	?
P	2010	117	27/04/2010	2.185	?	659.3	?
P	2010	124	4/5/2010	2.015	?	1011.75	?
P	2010	137	17/05/2010	1.66	?	1357.3	?
P	2010	145	25/05/2010	1.1975	?	?	?
P	2010	152	1/6/2010	?	1.11	3215.5	894.0480023
P	2010	165	14/06/2010	1.125	?	4349.075	?
P	2010	179	28/06/2010	0.86	?	4776.075	?
P	2010	193	12/7/2010	0.805	?	?	?
P	2010	196	15/07/2010	?	?	6900.625	?
P	2010	204	23/07/2010	0.555	?	8547.75	?
P	2010	208	27/07/2010	?	0.7775	?	2470.602449
P	2010	235	23/08/2010	0.775	?	9658.275	?
P	2010	250	7/9/2010	0.6175	?	10136.6	?
P	2010	264	21/09/2010	?	0.7525	?	3602.569266
P	2010	266	23/09/2010	0.5225	?	8436.625	?
P	2010	278	5/10/2010	0.4075	?	7813.4	?
P	2010	309	5/11/2010	?	0.815	?	3443.943299
P	2011	0	31/12/2010	0	?	?	?
P	2011	94	4/4/2011	2.436666667	?	?	?
P	2011	95	5/4/2011	?	?	16.96428575	?
P	2011	98	8/4/2011	?	?	?	0
P	2011	107	17/04/2011	3.14	?	53.70535675	?
P	2011	118	28/04/2011	2.8175	?	59.15178575	?
P	2011	129	9/5/2011	2.6725	?	256.8749998	?
P	2011	136	16/05/2011	2.2225	?	692.8125	?
P	2011	151	31/05/2011	1.7225	?	1551.428572	?
P	2011	154	3/6/2011	?	1.03	?	1978.374678
P	2011	161	10/6/2011	1.2	?	3185.491071	?
P	2011	175	24/06/2011	0.945	?	3974.821429	?
P	2011	188	7/7/2011	0.9125	?	5963.883929	?
P	2011	210	29/07/2011	?	0.805	?	2474.911405
P	2011	214	2/8/2011	0.82	?	9683.035714	?
P	2011	223	11/8/2011	0.6925	?	8524.285714	?
P	2011	238	26/08/2011	0.5775	?	9582.142857	?
P	2011	251	8/9/2011	0.5525	?	?	?
P	2011	252	9/9/2011	?	?	8308.928572	?
P	2011	265	22/09/2011	0.8	?	?	?
P	2011	266	23/09/2011	?	0.6825	8499.107143	3673.083119
P	2011	292	19/10/2011	0.2825	?	?	?
P	2011	293	20/10/2011	?	?	7244.789997	?
P	2011	305	1/11/2011	?	0.705	?	4102.85116
