ApsimVersion = 7.4
Title	year_	day	Date	plant_n_conc	rootgreennconc	biomass	root
()	(yer)	()	(dd/mm/yyyy)	(%)	(%)	(kg/ha)	(kg/ha)
P	2010	0	31/12/2009	0	?	?	?
P	2010	88	29/03/2010	2.41	?	15.4	?
P	2010	101	11/4/2010	?	?	?	0
P	2010	102	12/4/2010	2.86	?	33.6	?
P	2010	117	27/04/2010	2.2	?	450	?
P	2010	124	4/5/2010	2.11	?	1099.8	?
P	2010	137	17/05/2010	1.78	?	1288.4	?
P	2010	145	25/05/2010	1.19	?	?	?
P	2010	152	1/6/2010	?	1.11	2816.4	834.729381
P	2010	165	14/06/2010	1.3	?	5168.6	?
P	2010	179	28/06/2010	0.74	?	4533.9	?
P	2010	193	12/7/2010	0.75	?	?	?
P	2010	196	15/07/2010	?	?	6315	?
P	2010	204	23/07/2010	0.49	?	8983.9	?
P	2010	208	27/07/2010	?	0.86	?	2120.006443
P	2010	235	23/08/2010	0.85	?	8079.3	?
P	2010	250	7/9/2010	0.75	?	5867.9	?
P	2010	264	21/09/2010	?	0.75	?	3430.734536
P	2010	266	23/09/2010	0.65	?	7617.9	?
P	2010	278	5/10/2010	0.37	?	7860.7	?
P	2010	309	5/11/2010	?	?	?	3179.284794
P	2010	309	5/11/2010	?	0.86	?	?
P	2010	0	31/12/2009	0	?	?	?
P	2010	88	29/03/2010	2.15	?	43.6	?
P	2010	101	11/4/2010	?	?	?	0
P	2010	102	12/4/2010	2.74	?	53.8	?
P	2010	117	27/04/2010	2.14	?	568.8	?
P	2010	124	4/5/2010	2.12	?	870.4	?
P	2010	137	17/05/2010	1.74	?	1306.6	?
P	2010	145	25/05/2010	1.13	?	?	?
P	2010	152	1/6/2010	?	1.04	2991.1	1070.070876
P	2010	165	14/06/2010	1.04	?	3463.8	?
P	2010	179	28/06/2010	0.9	?	3519.8	?
P	2010	193	12/7/2010	0.84	?	?	?
P	2010	196	15/07/2010	?	?	7699.1	?
P	2010	204	23/07/2010	0.73	?	8439.3	?
P	2010	208	27/07/2010	?	0.81	?	3038.659794
P	2010	235	23/08/2010	0.74	?	10923.8	?
P	2010	250	7/9/2010	0.58	?	12957.1	?
P	2010	264	21/09/2010	?	0.62	?	3965.367268
P	2010	266	23/09/2010	0.4	?	6526.8	?
P	2010	278	5/10/2010	0.39	?	8064.3	?
P	2010	309	5/11/2010	?	?	?	3479.864691
P	2010	309	5/11/2010	?	0.77	?	?
