ApsimVersion = 7.5
Title	year	Date	cn_residue	cn_roots_5	cn_roots_15	cn_roots_30	cn_roots_60	cn_roots_100
()	()	(dd/mm/yyyy)	()	()	()	()	()	()
P	2008	1/11/2008	23.20616883	?	?	34.27	33.06	36.33
P	2008	1/11/2008	23.83413159	?	?	?	?	?
P	2008	1/11/2008	27.93659044	?	?	?	?	?
P	2008	1/11/2008	46.42811173	?	?	?	?	?
P	2009	1/11/2009	87.81702899	39.11	43.73	59.53	54.56	59.12
P	2009	1/11/2009	89.35427574	38.19	40.56	49.98	60.34	61.15
P	2009	1/11/2009	98.84169884	35.14	39.63	47.12	61.91	63.82
P	2009	1/11/2009	123.1919439	36.39	34.34	46.02	56.2	58.42
P	2010	1/11/2010	84.38373844	48.43	43.52	75.42	89.2	82.98
P	2010	1/11/2010	85.93939394	41.2	46.37	58.07	73.37	70.23
P	2010	1/11/2010	101.1556337	39.88	48.05	70.44	86.22	89.75
P	2010	1/11/2010	121.1317418	59.69	64.12	84.16	95.6	107.5
P	2011	1/11/2011	97.93023256	57.13	58.43	69.97	94.34	110.84
P	2011	1/11/2011	104.3846154	72.46	64.46	85.07	100.56	110.96
P	2011	1/11/2011	119.3428571	73.02	69.06	72.78	79.33	62.72
P	2011	1/11/2011	120.8857143	50.98	61	66.19	90.12	73.99
