ApsimVersion = 7.5
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
P	1/8/2008	0.280137931	0.318264368	0.310086207	0.339172414	0.307091954	25.09655172	24.47356322	23.34827586	22.09425287	21.2045977
P	2/8/2008	0.246260417	0.292359375	0.289861111	0.323765625	0.288401042	22.2921875	22.4296875	22.37361111	21.8875	21.30677083
P	3/8/2008	0.241255208	0.285416667	0.285097222	0.318036458	0.28478125	24.24635417	23.57291667	22.61805556	21.5828125	21.05
P	4/8/2008	0.23609375	0.281088542	0.283263889	0.317098958	0.282388889	25.66041667	25.10520833	23.99861111	22.37552083	21.38611111
P	5/8/2008	0.2273125	0.271541667	0.276027778	0.314807292	0.282111111	23.91145833	23.9625	23.56527778	22.61770833	21.73611111
P	6/8/2008	0.213583333	0.257744792	0.264993056	0.307822917	0.279569444	20.87708333	21.30729167	21.61458333	21.728125	21.43541667
P	7/8/2008	0.208390625	0.2505	0.258333333	0.300390625	0.274923611	21.2859375	21.29114583	21.09930556	20.9375	20.80555556
P	8/8/2008	0.195833333	0.236557292	0.250284722	0.293088542	0.271006944	20.70625	20.77395833	20.71458333	20.5890625	20.45833333
P	9/8/2008	0.191270833	0.229401042	0.245055556	0.287848958	0.267631944	22.03333333	21.72135417	21.14305556	20.54427083	20.24583333
P	10/8/2008	0.183192708	0.222697917	0.239916667	0.284385417	0.265479167	22.14947917	22.03125	21.61805556	20.86354167	20.37847222
P	11/8/2008	0.171145833	0.212328125	0.229965278	0.278125	0.26275	20.57864583	20.728125	20.78888889	20.5703125	20.31388889
P	12/8/2008	0.16803125	0.207859375	0.223472222	0.272958333	0.259756944	19.88802083	20.1328125	20.24444444	20.17552083	20.03402778
P	13/08/2008	0.173510417	0.208958333	0.222472222	0.269151042	0.257229167	20.31770833	20.17760417	19.87569444	19.7046875	19.67152778
P	14/08/2008	0.184744792	0.213078125	0.224222222	0.267578125	0.255916667	20.89635417	20.77552083	20.36319444	19.88333333	19.62152778
P	15/08/2008	0.215098958	0.226640625	0.2305625	0.267541667	0.261375	20.2375	20.32916667	20.19652778	19.89322917	19.63819444
P	16/08/2008	0.200369792	0.221927083	0.227972222	0.264182292	0.257347222	19.58385417	19.68541667	19.64305556	19.54739583	19.46041667
P	17/08/2008	0.190213542	0.21803125	0.226493056	0.26121875	0.253847222	19.89739583	19.89010417	19.64375	19.40364583	19.27291667
P	18/08/2008	0.182630208	0.214286458	0.224236111	0.2584375	0.250847222	20.38385417	20.23125	19.78819444	19.41197917	19.21319444
P	19/08/2008	0.176848958	0.211375	0.221979167	0.256447917	0.248729167	21.13229167	20.91354167	20.31319444	19.68802083	19.30972222
P	20/08/2008	0.169760417	0.206375	0.218076389	0.254151042	0.246854167	21.096875	20.97447917	20.49583333	19.90520833	19.48055556
P	21/08/2008	0.163192708	0.201255208	0.214229167	0.252520833	0.2458125	20.39895833	20.54375	20.35833333	19.97864583	19.58263889
P	22/08/2008	0.16715625	0.203109375	0.213625	0.250916667	0.244340278	22.17239583	21.63541667	20.62083333	19.85729167	19.47986111
P	23/08/2008	0.160744792	0.199359375	0.211638889	0.25078125	0.243513889	21.83645833	21.8328125	21.34513889	20.50052083	19.82638889
P	24/08/2008	0.148223958	0.188973958	0.202694444	0.2449375	0.240694444	19.59947917	19.8984375	19.99791667	20.00104167	19.75416667
P	25/08/2008	0.141578125	0.182869792	0.196486111	0.239427083	0.236354167	18.99114583	19.215625	19.27986111	19.40260417	19.33611111
P	26/08/2008	0.1375	0.179078125	0.192326389	0.235776042	0.233104167	19.059375	19.19479167	19.09513889	19.12239583	19.02916667
P	27/08/2008	0.135994792	0.176552083	0.189659722	0.233546875	0.231152778	18.83802083	19.01302083	18.88958333	18.95885417	18.84861111
P	28/08/2008	0.176901042	0.196395833	0.198805556	0.234869792	0.230361111	21.38802083	20.99583333	19.95972222	19.22604167	18.82569444
P	29/08/2008	0.172479167	0.193447917	0.198611111	0.234338542	0.230048611	19.44166667	19.68385417	19.54375	19.44583333	19.08125
