ApsimVersion = 7.4
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75	sw_5Error	sw_10Error	sw_15Error	sw_35Error	sw_75Error	st_5Error	st_10Error	st_15Error	st_35Error	st_75Error
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
P	1/8/2008	0.290268966	0.341789655	0.345716092	0.372843678	0.34802069	28.60229885	27.06206897	25.91954023	24.1183908	22.95862069	0.031151667	0.043735643	0.042457648	0.051773993	0.080937931	1.537665991	0.973586967	0.566810035	0.218091143	0.379310345
P	2/8/2008	0.249776563	0.292258854	0.303916146	0.336400521	0.28803125	25.01822917	24.725	24.6453125	23.85520833	22.85972222	0.023299987	0.040637914	0.042360813	0.050523839	0.076169987	0.755641578	0.556164163	0.456465873	0.256676615	0.182654731
P	3/8/2008	0.238554688	0.281409896	0.295738542	0.332894271	0.285444444	26.94010417	25.90364583	25.10885417	23.67864583	22.66180556	0.021875517	0.040087959	0.040268777	0.050499769	0.075753984	0.690772082	0.48629092	0.420697839	0.277809948	0.18690234
P	4/8/2008	0.227619271	0.2724625	0.288319271	0.332959896	0.284875694	27.79479167	27.03489583	26.29895833	24.43020833	22.98958333	0.019437783	0.039816446	0.037420676	0.051134575	0.075778818	0.628594697	0.452236417	0.394818234	0.250891783	0.200401074
P	5/8/2008	0.213571875	0.259096354	0.277692188	0.330711458	0.284474306	25.31302083	25.3390625	25.40260417	24.49635417	23.25625	0.015404236	0.037302486	0.034267769	0.051232578	0.07611686	0.600880897	0.437963854	0.425093923	0.276025779	0.204835215
P	6/8/2008	0.200565104	0.246024479	0.2654875	0.324066146	0.281649306	22.14791667	22.4953125	23.09739583	23.4046875	22.82291667	0.012607672	0.034324256	0.031356636	0.049514767	0.075486311	0.475676449	0.358195402	0.41817122	0.329071469	0.22077764
P	7/8/2008	0.199278125	0.241913021	0.259706771	0.318032813	0.277731944	23.36041667	22.96979167	22.85833333	22.578125	22.11388889	0.01227144	0.034588201	0.03046983	0.04756953	0.074244741	0.694202909	0.426400623	0.41216404	0.329621806	0.25177131
P	8/8/2008	0.192430208	0.235076563	0.252752083	0.313672396	0.281133333	23.671875	23.21875	23.00208333	22.5015625	22.0046875	0.01192023	0.03512642	0.030482743	0.046491134	0.052237297	0.875468418	0.569478954	0.498159953	0.340892346	0.238743054
P	9/8/2008	0.194284375	0.237059896	0.253160938	0.312984896	0.280611458	25.95729167	24.99270833	24.18385417	22.86197917	22.03802083	0.011428047	0.035993475	0.030947963	0.046439007	0.052169454	0.734079925	0.487751078	0.44364841	0.333230643	0.252228745
