ApsimVersion = 7.4
Title	Date	year	AboveGroundWt	LitterDepositionWt	BelowGroundWt
()	(dd/mm/yyyy)	(year)	(kg/ha)	(kg/ha)	()
PF	16/10/2008	2008	3290	3290	1970
PF	16/10/2008	2008	3940	3940	1210
PF	16/10/2008	2008	3710	3710	960
PF	16/10/2008	2008	4270	4270	1130
PF	13/10/2009	2009	13450	5180	3590
PF	13/10/2009	2009	13560	4560	3660
PF	13/10/2009	2009	12070	3030	3920
PF	13/10/2009	2009	14840	6860	5580
PF	28/09/2010	2010	12800	1320	3010
PF	28/09/2010	2010	11950	510	    3420
PF	28/09/2010	2010	10750	?	    2920
PF	28/09/2010	2010	11960	?	    3400
PF	29/09/2011	2011	9870	3850	3400
PF	29/09/2011	2011	9280	2900	4850
PF	29/09/2011	2011	9830	3810	6180
PF	29/09/2011	2011	9900	3610	3140
PF   10/10/2012  2012   5115    1343    7544
PF   10/10/2012  2012   4796    965     5865
PF   10/10/2012  2012   4776    1130    7375
PF   10/10/2012  2012   5990    1096    6233
PF   28/10/2013  2013   6698    2434    5892
PF   28/10/2013  2013   7476    2349    2992
PF   28/10/2013  2013   7048    1619    2848
PF   28/10/2013  2013   7220    2354    6491
