ApsimVersion = 7.4
Title	year	day	Date	AbovegroundNPct	BelowgroundN	AboveGroundWt	BelowGroundWt
()	(year)	()	(dd/mm/yyyy)	(%)	(%)	(kg/ha)	(kg/ha)
PF	2010	0	31/12/2009	0	?	?	?
PF	2010	88	29/03/2010	2.48	?	100.7	?
PF	2010	101	11/4/2010	?	?	?	0
PF	2010	102	12/4/2010	5.08	?	570.4	?
PF	2010	117	27/04/2010	3.85	?	1893	?
PF	2010	124	4/5/2010	2.96	?	4223.2	?
PF	2010	137	17/05/2010	2.43	?	4104.1	?
PF	2010	145	25/05/2010	1.53	?	?	?
PF	2010	152	1/6/2010	?	1.15	7508.6	1823.936856
PF	2010	165	14/06/2010	1.86	?	8085.7	?
PF	2010	179	28/06/2010	1.3	?	11433.6	?
PF	2010	193	12/7/2010	1.13	?	?	?
PF	2010	196	15/07/2010	?	?	19641.3	?
PF	2010	204	23/07/2010	0.63	?	17903.6	?
PF	2010	208	27/07/2010	?	1.09	?	1381.282216
PF	2010	235	23/08/2010	1.01	?	13015.2	?
PF	2010	250	7/9/2010	1.14	?	19178.6	?
PF	2010	264	21/09/2010	?	1.09	?	1333.601804
PF	2010	266	23/09/2010	0.84	?	17713.2	?
PF	2010	278	5/10/2010	0.72	?	15130.4	?
PF	2010	309	5/11/2010	?	?	?	855.186856
PF	2010	309	5/11/2010	?	1.18	?	?
PF	2010	0	31/12/2009	0	?	?	?
PF	2010	88	29/03/2010	2.83	?	106.8	?
PF	2010	101	11/4/2010	?	?	?	0
PF	2010	102	12/4/2010	4.84	?	426.1	?
PF	2010	117	27/04/2010	3.29	?	1466.8	?
PF	2010	124	4/5/2010	3.11	?	3135.7	?
PF	2010	137	17/05/2010	2.34	?	4130.9	?
PF	2010	145	25/05/2010	1.97	?	?	?
PF	2010	152	1/6/2010	?	1.29	6579.5	410.921392
PF	2010	165	14/06/2010	1.66	?	6877.5	?
PF	2010	179	28/06/2010	1.64	?	10471.4	?
PF	2010	193	12/7/2010	1.51	?	?	?
PF	2010	196	15/07/2010	?	?	17172	?
PF	2010	204	23/07/2010	0.5	?	15816.1	?
