ApsimVersion = 7.5
Title	year	Date	cn_residue	cn_roots_5	cn_roots_15	cn_roots_30	cn_roots_60	cn_roots_100
()	()	(dd/mm/yyyy)	()	()	()	()	()	()
PF	2008	1/11/2008	21.88615123	?	?	34.78	38.05	32.97
PF	2008	1/11/2008	24.50787402	?	?	?	?	?
PF	2008	1/11/2008	34.36677041	?	?	?	?	?
PF	2008	1/11/2008	40.15352038	?	?	?	?	?
PF	2009	1/11/2009	37.87785318	28.16	32.57	34.48	39.38	37.74
PF	2009	1/11/2009	40.62149771	25.77	29.54	35.35	44.06	42.19
PF	2009	1/11/2009	81.92497939	28.5	27.78	31.41	46.21	49.36
PF	2009	1/11/2009	82.80191311	27.1	30.91	33.67	38.29	39.24
PF	2010	1/11/2010	32.55203926	35.74	44.17	49.65	58.9	62.47
PF	2010	1/11/2010	40.4287902	28.72	35.84	39.91	45.43	57.44
PF	2010	1/11/2010	49.94360902	26.14	43.14	43.73	50.4	52.77
PF	2010	1/11/2010	51.42100504	26.91	35.25	39.37	51.73	47.61
PF	2011	1/11/2011	51.93670886	29.88	37.35	42.52	49.17	51.68
PF	2011	1/11/2011	54.71428571	38.39	42.56	44.27	54.77	57.91
PF	2011	1/11/2011	58.77464789	40.2	48.39	52.89	56.29	61.12
PF	2011	1/11/2011	85.04	41.89	43.2	49.62	47.62	51.48

