ApsimVersion = 7.4
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75	sw_5Error	sw_10Error	sw_15Error	sw_35Error	sw_75Error	st_5Error	st_10Error	st_15Error	st_35Error	st_75Error
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
PF	1/8/2008	0.264346552	0.312965517	0.396103448	0.349231034	0.343281609	29.7137931	27.74022989	26.02528736	24.14367816	23.03218391	0.08265	0.026424487	0.019878558	0.014649957	0.029598814	1.655172414	0.910920084	0.439098513	0.171680433	0.036996499
PF	2/8/2008	0.193826389	0.287572917	0.368516667	0.330975521	0.336828646	25.49375	25.19895833	24.79375	23.89010417	23.03385417	0.049442561	0.019293944	0.02204685	0.019733882	0.021884319	0.633117425	0.489430014	0.357096744	0.28411526	0.125096534
PF	3/8/2008	0.182302778	0.278055729	0.361842188	0.32795625	0.334826563	27.56458333	26.534375	25.3171875	23.7921875	22.928125	0.042120294	0.019751997	0.022864968	0.019735873	0.021938812	0.934231184	0.650247849	0.435925055	0.333624412	0.146813423
PF	4/8/2008	0.174022917	0.271283333	0.358882813	0.328745833	0.334975521	28.34652778	27.65416667	26.5140625	24.5453125	23.3015625	0.039203593	0.020070148	0.023428668	0.019678682	0.022344264	0.738915322	0.567349849	0.408915202	0.373068303	0.203078476
PF	5/8/2008	0.163161111	0.259260417	0.349225521	0.326977083	0.3348125	25.68611111	25.8421875	25.64010417	24.6078125	23.58020833	0.037527113	0.019147081	0.022917333	0.019460695	0.022835748	0.140215883	0.277963534	0.268272313	0.31905325	0.193481931
PF	6/8/2008	0.1528625	0.246620833	0.335680729	0.320489583	0.331493229	22.54027778	22.99635417	23.35104167	23.49739583	23.14010417	0.036330957	0.017683407	0.021919369	0.018794802	0.022706393	0.064373914	0.138164888	0.176622153	0.205423032	0.118763325
PF	7/8/2008	0.155259028	0.244913542	0.329663542	0.314927083	0.326933333	23.89652778	23.52395833	23.08229167	22.65572917	22.425	0.036897374	0.017053993	0.021708084	0.018393846	0.022649517	0.606529543	0.438624134	0.278743331	0.207720235	0.076324152
PF	8/8/2008	0.152276389	0.240279167	0.323194792	0.312089583	0.324599479	24.04583333	23.75885417	23.30729167	22.61041667	22.21041667	0.036134802	0.016701868	0.021386461	0.018440284	0.022650149	0.559763146	0.46546175	0.372192908	0.311930036	0.126160699
PF	9/8/2008	0.1567	0.244632292	0.323996354	0.312378125	0.324374479	26.29930556	25.48541667	24.38854167	22.92916667	22.2515625	0.037201324	0.017227511	0.021765726	0.018451184	0.022889627	0.680594883	0.512984612	0.380397594	0.350162206	0.174188709
PF	10/8/2008	0.156129861	0.247039063	0.326105729	0.315466667	0.326482292	27.24027778	26.50364583	25.4734375	23.71302083	22.68645833	0.036392539	0.017566907	0.022142944	0.018539587	0.023159262	0.558429632	0.439442097	0.3369738	0.34505264	0.214143799
PF	11/8/2008	0.147227778	0.241546354	0.321285938	0.315328646	0.327794271	25.5	25.36510417	24.95052083	23.86666667	22.978125	0.034343746	0.017562996	0.022133617	0.018422333	0.023225035	0.315010747	0.302534834	0.253306227	0.306986077	0.209127825
