APSIM = 7.7
Title = P
 Title     date         year       day      NO3Nconc subsurface_drain sum_subsurface_drain  leach_    sum_leach_     NO3Nconcerror   subsurface_drainerror     sum_subsurface_drainerror    leach_error    sum_leach_error        
  ()   (dd/mm/yyyy)     ()         ()         ()         (mm)            (mm)              (kg/ha)     (kg/ha)           ()                  (mm)                        (mm)                      (kg/ha)           (kg/ha)
P      15/06/2009      2009      166      ?      0      0      ?      0      ?      0      0      ?      0
P      18/06/2009      2009      169      ?      0      0      ?      0      ?      0      0      ?      0
P      25/06/2009      2009      176      0.63      4.83      4.83      0.02      0.02      0.26      2.06      2.06      0.01      0.01
P      29/06/2009      2009      180      0.68      1.02      5.84      0      0.02      0.28      0.42      2.44      0      0.01
P      02/07/2009      2009      183      ?      0.01      5.85      ?      0.02      ?      0.01      2.43      ?      0.01
P      06/07/2009      2009      187      ?      0      5.85      ?      0.02      ?      0      2.43      ?      0.01
P      09/07/2009      2009      190      ?      0      5.85      ?      0.02      ?      0      2.43      ?      0.01
P      13/07/2009      2009      194      ?      0      5.85      ?      0.02      ?      0      2.43      ?      0.01
P      16/07/2009      2009      197      ?      0      5.85      ?      0.02      ?      0      2.43      ?      0.01
P      20/07/2009      2009      201      ?      0.01      5.86      ?      0.02      ?      0.01      2.44      ?      0.01
P      23/07/2009      2009      204      ?      0      5.86      ?      0.02      ?      0      2.44      ?      0.01
P      27/07/2009      2009      208      ?      0      5.86      ?      0.02      ?      0      2.44      ?      0.01
P      30/07/2009      2009      211      ?      0      5.86      ?      0.02      ?      0      2.44      ?      0.01
P      03/08/2009      2009      215      ?      0      5.86      ?      0.02      ?      0      2.44      ?      0.01
P      06/08/2009      2009      218      ?      0      5.86      ?      0.02      ?      0      2.44      ?      0.01
P      10/08/2009      2009      222      ?      0      5.86      ?      0.02      ?      0      2.44      ?      0.01
P      17/08/2009      2009      229      ?      3.39      9.25      ?      0.02      ?      3.39      3.71      ?      0.01
P      20/08/2009      2009      232      ?      0      9.25      ?      0.02      ?      0      3.71      ?      0.01
P      24/08/2009      2009      236      ?      ?      9.25      ?      0.02      ?      ?      3.71      ?      0.01
P      15/09/2009      2009      258      ?      0      9.25      ?      0.02      ?      0      3.71      ?      0.01
P      19/10/2009      2009      292      ?      0      9.25      ?      0.02      ?      0      3.71      ?      0.01
P      26/10/2009      2009      299      1.03      27.64      36.89      0.1      0.12      0.39      11.01      13.17      0.04      0.05
P      30/10/2009      2009      303      0.72      17.95      54.84      0.05      0.17      0.12      9.26      20.74      0.03      0.07
P      04/11/2009      2009      308      ?      17.12      71.96      ?      0.22      0.18      1.82      22.15      0.02      0.08
P      06/11/2009      2009      310      0.75      2.59      74.55      0.01      0.23      0.16      0.68      21.55      0      0.08
P      11/11/2009      2009      315      ?      0.81      75.36      ?      0.24      0.27      0.37      21.5      0      0.08
P      18/11/2009      2009      322      ?      0.17      75.53      ?      0.24      ?      0.15      21.39      ?      0.08
P      15/03/2010      2010      74      0.38      ?      0      ?      0      0.07      ?      0      ?      0
P      18/03/2010      2010      77      0.44      9.93      9.93      0.02      0.02      0.08      0.97      0.97      0.01      0.01
P      22/03/2010      2010      81      0.49      7.64      17.57      0.02      0.04      0.09      1.02      1.75      0      0.01
P      25/03/2010      2010      84      0.56      2.16      19.73      0.01      0.05      0.14      0.66      2.2      0      0.01
P      29/03/2010      2010      88      ?      0.91      20.64      ?      0.05      ?      0.5      2.53      ?      0.01
P      01/04/2010      2010      91      ?      0.18      20.82      ?      0.05      ?      0.15      2.63      ?      0.01
P      05/04/2010      2010      95      ?      0.04      20.86      ?      0.05      ?      0.04      2.66      ?      0.01
P      07/04/2010      2010      97      0.3      8.18      29.04      0.01      0.06      0.08      1.85      2.77      0      0.02
