ApsimVersion = 7.6
Title = PFnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     05/05/2008          151.6           67.1          241.0
     06/05/2008          154.0           69.0          222.0
     07/05/2008          158.1           71.1          214.9
     08/05/2008          160.1           72.4          210.7
     09/05/2008          163.8           74.3          206.7
     10/05/2008          167.3           76.0          199.7
     11/05/2008          171.0           77.8          196.8
     12/05/2008          173.9           79.1          191.9
     13/05/2008          179.9           81.6          188.6
     14/05/2008          186.1           84.2          186.9
     15/05/2008          192.6           86.7          185.8
     16/05/2008          199.9           89.6          186.6
     17/05/2008          208.0           92.6          187.5
     18/05/2008          217.1           96.3          188.5
     19/05/2008          227.4          100.4          189.4
     20/05/2008          236.1          103.9          190.3
     21/05/2008          247.9          108.8          191.3
     22/05/2008          261.1          114.2          192.1
     23/05/2008          274.2          119.6          185.4
     24/05/2008          278.1          121.1          178.1
     25/05/2008          282.3          121.6          162.7
     26/05/2008          291.5          123.5          150.8
     27/05/2008          304.8          127.3          146.7
     28/05/2008          320.5          131.7          142.5
     29/05/2008          326.1          133.1          135.7
     30/05/2008          336.1          135.6          123.8
     31/05/2008          345.6          138.0          114.4
     01/06/2008          367.7          144.7          107.8
     02/06/2008          391.7          152.4           99.0
     03/06/2008          408.7          157.9           92.8
     04/06/2008          424.8          163.1           86.5
     05/06/2008          433.9          165.6           79.8
     06/06/2008          445.3          169.0           74.0
     07/06/2008          462.1          174.6           69.5
     08/06/2008          487.8          183.5           64.8
     09/06/2008          512.3          192.1           60.8
     10/06/2008          534.9          199.9           57.5
     11/06/2008          566.9          211.3           54.1
     12/06/2008          613.0          228.4           51.2
     13/06/2008          647.5          241.0           49.2
     14/06/2008          698.0          260.1           47.9
     15/06/2008          760.4          283.9           47.2
     16/06/2008          834.2          312.7           47.5
     17/06/2008          919.8          346.2           47.9
     18/06/2008         1016.3          384.1           48.8
     19/06/2008         1124.4          427.0           50.3
     20/06/2008         1245.4          475.4           52.2
     21/06/2008         1381.4          530.1           50.5
     22/06/2008         1529.2          590.1           49.5
     23/06/2008         1648.7          638.1           49.0
     24/06/2008            0.0            0.0           47.1
     25/06/2008            0.0            0.0           46.3
     26/06/2008            0.0            0.0           43.0
     27/06/2008            0.0            0.0           40.3
     28/06/2008            0.0            0.0           38.5
     29/06/2008            0.0            0.0           37.0
     30/06/2008            0.0            0.0           36.2
     01/07/2008          195.0          150.0           36.2
     02/07/2008          195.0          148.9           36.2
     03/07/2008          203.3          149.9           36.4
     04/07/2008          212.8          151.3           36.9
     05/07/2008          221.4          152.6           37.5
     06/07/2008          229.4          153.8           38.3
     07/07/2008          236.3          154.8           36.5
     08/07/2008          241.3          155.3           34.9
     09/07/2008          246.7          156.0           33.9
     10/07/2008          257.5          158.4           32.8
     11/07/2008          266.4          160.3           31.7
     12/07/2008          275.4          162.3           31.3
     13/07/2008          283.8          164.2           31.1
     14/07/2008          296.6          167.5           31.3
     15/07/2008          312.3          171.9           32.1
     16/07/2008          329.5          176.9           33.3
     17/07/2008          343.5          181.1           32.4
     18/07/2008          357.0          185.1           32.0
     19/07/2008          368.3          188.4           31.3
     20/07/2008          383.1          193.1           31.0
     21/07/2008          395.5          196.9           30.5
     22/07/2008          410.9          201.9           30.4
     23/07/2008          426.0          206.9           30.4
     24/07/2008          451.5          216.2           30.4
     25/07/2008          466.2          221.1           30.3
     26/07/2008          472.3          222.6           30.5
     27/07/2008          498.5          232.3           30.2
     28/07/2008          529.4          244.0           30.3
     29/07/2008          551.8          252.2           30.2
     30/07/2008          582.7          264.0           30.4
     31/07/2008          609.1          273.8           30.9
     01/08/2008          648.8          289.3           31.6
     02/08/2008          692.3          306.4           32.7
     03/08/2008          745.9          327.7           34.0
     04/08/2008          803.3          350.7           35.5
     05/08/2008          864.6          375.2           37.3
     06/08/2008          927.7          400.4           39.3
     07/08/2008         1013.5          435.3           41.7
     08/08/2008         1101.9          471.2           44.2
     09/08/2008         1207.2          514.2           46.9
     10/08/2008         1315.6          558.3           49.7
     11/08/2008         1420.7          601.1           52.5
     12/08/2008         1545.4          652.1           52.3
     13/08/2008         1626.0          683.3           51.8
     14/08/2008         1718.7          719.6           51.5
     15/08/2008         1827.5          762.7           51.5
     16/08/2008         1937.1          805.8           51.8
     17/08/2008         2094.1          869.4           52.5
     18/08/2008         2252.5          933.2           53.6
     19/08/2008         2415.2          998.5           55.0
     20/08/2008         2578.6         1063.9           56.8
     21/08/2008         2737.8         1127.1           58.9
     22/08/2008         2871.3         1178.8           61.3
     23/08/2008         2950.5         1206.5           64.0
     24/08/2008         3110.4         1270.1           67.3
     25/08/2008         3274.3         1335.0           70.9
     26/08/2008         3441.1         1400.9           74.9
     27/08/2008         3605.7         1464.7           76.1
     28/08/2008         3708.6         1501.0           77.3
     29/08/2008         3794.9         1530.5           79.3
     30/08/2008         3972.2         1599.0           81.6
     31/08/2008         4142.6         1664.1           84.5
     01/09/2008         4293.9         1720.8           88.0
     02/09/2008         4356.5         1738.3           96.3
     03/09/2008         4413.3         1757.9          104.9
     04/09/2008         4467.6         1776.4          113.3
     05/09/2008         4504.9         1787.2          121.0
     06/09/2008         4553.8         1803.6          129.0
     07/09/2008         4596.4         1816.1          137.2
     08/09/2008         4645.5         1834.9          143.2
     09/09/2008         4686.7         1848.5          150.9
     10/09/2008         4732.3         1860.7          156.8
     11/09/2008         4794.3         1877.1          156.1
     12/09/2008         4841.8         1889.5          160.0
     13/09/2008         4875.5         1895.4          170.3
     14/09/2008         4877.7         1893.0          181.8
     15/09/2008         4953.8         1922.8          188.1
     16/09/2008         5004.9         1937.4          199.4
     17/09/2008         5067.2         1954.9          211.8
     18/09/2008         5134.1         1974.8          225.5
     19/09/2008         5198.2         1994.6          240.3
     20/09/2008         5256.6         2012.3          256.2
     21/09/2008         5313.4         2030.4          272.9
     22/09/2008         5369.5         2048.1          289.5
     23/09/2008         5426.3         2065.1          300.5
     24/09/2008         5476.6         2079.8          319.7
     25/09/2008         5523.4         2094.1          340.1
     26/09/2008         5584.9         2114.1          361.4
     27/09/2008         5645.7         2134.4          383.7
     28/09/2008         5701.7         2156.2          406.4
     29/09/2008         5754.5         2178.3          420.9
     30/09/2008         5789.7         2194.7          442.0
     01/10/2008          763.3         2188.0          443.7
     02/10/2008          809.2         2180.9          361.1
     03/10/2008          824.8         2171.8          363.1
     04/10/2008          846.2         2163.2          358.0
     05/10/2008          857.5         2148.0          352.8
     06/10/2008          868.3         2132.0          334.4
     07/10/2008          882.8         2124.6          328.5
     08/10/2008          888.5         2115.5          321.3
     09/10/2008          897.9         2106.3          314.3
     10/10/2008          916.2         2095.0          305.8
     11/10/2008          928.8         2081.0          295.5
     12/10/2008          938.7         2065.6          284.8
     13/10/2008          953.5         2057.1          278.4
     14/10/2008          970.8         2053.9          276.7
     15/10/2008          990.6         2050.1          274.6
     16/10/2008          996.2         2047.4          273.0
     17/10/2008         1012.3         2044.8          271.5
     18/10/2008         1027.6         2044.4          269.9
     19/10/2008         1032.8         2036.0          262.9
     20/10/2008         1054.1         2034.7          260.7
     21/10/2008         1056.1         2035.0          259.7
     22/10/2008         1063.7         2033.7          258.1
     23/10/2008         1071.7         2033.3          256.9
     24/10/2008         1077.2         2034.1          255.8
     25/10/2008         1075.8         2029.5          252.9
     26/10/2008         1080.5         2029.7          252.1
     27/10/2008         1080.5         2029.7          252.0
     28/10/2008         1080.5         2029.7          251.8
     29/10/2008         1079.4         2026.0          249.8
     30/10/2008         1081.7         2019.9          246.0
     31/10/2008         1092.8         2012.2          240.0
     01/11/2008         1115.6         2008.8          237.1
     02/11/2008         1127.0         1999.9          231.4
     03/11/2008         1134.6         1989.8          225.8
     04/11/2008         1138.6         1978.9          220.9
     05/11/2008         1142.9         1970.3          214.2
     06/11/2008         1152.0         1969.5          213.4
     07/11/2008         1152.0         1969.5          213.3
     08/11/2008         1152.0         1969.5          213.3
     09/11/2008         1152.0         1969.5          213.3
     10/11/2008         1152.3         1969.5          212.8
     11/11/2008         1152.3         1969.5          212.5
     12/11/2008         1152.9         1969.6          211.9
     13/11/2008         1151.6         1967.8          211.3
     14/11/2008         1152.1         1967.8          210.8
     15/11/2008         1152.1         1967.8          210.8
     16/11/2008         1152.1         1967.8          210.8
     17/11/2008         1152.1         1967.8          210.8
     18/11/2008         1152.1         1967.8          210.8
     19/11/2008         1152.1         1967.8          210.6
     20/11/2008         1152.1         1967.8          210.6
     21/11/2008         1152.1         1967.8          210.6
     22/11/2008         1152.1         1967.8          210.6
     23/11/2008         1152.1         1967.8          210.6
     24/11/2008         1152.1         1967.8          210.5
     25/11/2008         1152.1         1967.8          210.5
     26/11/2008         1152.1         1967.8          210.5
     27/11/2008         1152.1         1967.8          210.5
     28/11/2008         1152.1         1967.8          210.3
     29/11/2008         1152.1         1967.8          210.3
     30/11/2008         1152.1         1967.8          210.3
     01/12/2008         1152.1         1967.8          210.3
     02/12/2008         1152.1         1967.8          210.3
     03/12/2008         1152.1         1967.8          210.3
     04/12/2008         1152.1         1967.8          210.3
     05/12/2008         1152.1         1967.8          210.3
     06/12/2008         1152.1         1967.8          210.3
     07/12/2008         1152.1         1967.8          210.3
