ApsimVersion = 7.6
Title = PFnew soilco2
           Date  soil_root_co2
   (dd/mm/yyyy)             ()
     05/05/2008          0.000
     06/05/2008         18.224
     07/05/2008         18.531
     08/05/2008         16.157
     09/05/2008         14.695
     10/05/2008         12.492
     11/05/2008         14.806
     12/05/2008         12.512
     13/05/2008         11.143
     14/05/2008         10.867
     15/05/2008         10.807
     16/05/2008         11.868
     17/05/2008         12.817
     18/05/2008         14.956
     19/05/2008         14.885
     20/05/2008         14.657
     21/05/2008         13.937
     22/05/2008         13.710
     23/05/2008         13.760
     24/05/2008         15.119
     25/05/2008         14.254
     26/05/2008         18.977
     27/05/2008         20.152
     28/05/2008         13.962
     29/05/2008         13.578
     30/05/2008         11.500
     31/05/2008         14.219
     01/06/2008         16.509
     02/06/2008         17.339
     03/06/2008         16.306
     04/06/2008         13.554
     05/06/2008         15.426
     06/06/2008         14.783
     07/06/2008         16.239
     08/06/2008         18.359
     09/06/2008         15.505
     10/06/2008         15.963
     11/06/2008         16.758
     12/06/2008         14.338
     13/06/2008         16.296
     14/06/2008         17.111
     15/06/2008         18.130
     16/06/2008         16.591
     17/06/2008         14.215
     18/06/2008         14.547
     19/06/2008         15.725
     20/06/2008         16.995
     21/06/2008         17.959
     22/06/2008         21.164
     23/06/2008         18.354
     24/06/2008         13.304
     25/06/2008         14.739
     26/06/2008         16.255
     27/06/2008         15.016
     28/06/2008         17.093
     29/06/2008         15.473
     30/06/2008         12.772
     01/07/2008         12.210
     02/07/2008         13.442
     03/07/2008         15.163
     04/07/2008         15.977
     05/07/2008         15.929
     06/07/2008         16.156
     07/07/2008         17.030
     08/07/2008         22.943
     09/07/2008         21.014
     10/07/2008         20.487
     11/07/2008         20.529
     12/07/2008         19.822
     13/07/2008         18.585
     14/07/2008         15.931
     15/07/2008         13.904
     16/07/2008         15.390
     17/07/2008         16.664
     18/07/2008         17.382
     19/07/2008         18.538
     20/07/2008         15.245
     21/07/2008         18.226
     22/07/2008         15.366
     23/07/2008         17.461
     24/07/2008         17.413
     25/07/2008         14.203
     26/07/2008         16.228
     27/07/2008         17.266
     28/07/2008         14.672
     29/07/2008         17.496
     30/07/2008         16.581
     31/07/2008         18.517
     01/08/2008         19.396
     02/08/2008         19.333
     03/08/2008         15.876
     04/08/2008         16.392
     05/08/2008         17.547
     06/08/2008         16.947
     07/08/2008         16.475
     08/08/2008         17.094
     09/08/2008         17.413
     10/08/2008         18.283
     11/08/2008         18.465
     12/08/2008         17.966
     13/08/2008         20.638
     14/08/2008         21.111
