ApsimVersion = 7.6
Title = Pnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     05/05/2008          150.8           99.7          241.0
     06/05/2008          152.4          101.9          222.0
     07/05/2008          155.1          104.4          215.3
     08/05/2008          156.5          106.1          211.1
     09/05/2008          159.4          108.0          206.9
     10/05/2008          162.0          109.8          199.8
     11/05/2008          164.9          111.8          196.8
     12/05/2008          167.0          113.2          191.9
     13/05/2008          171.6          116.0          188.4
     14/05/2008          176.3          118.8          186.8
     15/05/2008          181.1          121.5          185.7
     16/05/2008          186.4          124.5          186.5
     17/05/2008          192.1          127.4          187.4
     18/05/2008          198.6          131.2          188.3
     19/05/2008          205.8          135.2          189.2
     20/05/2008          211.6          138.7          190.2
     21/05/2008          219.7          143.4          191.1
     22/05/2008          228.6          148.7          191.9
     23/05/2008          237.1          153.8          185.1
     24/05/2008          239.1          154.8          177.9
     25/05/2008          240.9          154.7          162.6
     26/05/2008          246.1          155.9          150.9
     27/05/2008          254.4          159.2          146.8
     28/05/2008          264.0          163.1          142.7
     29/05/2008          266.6          163.7          135.8
     30/05/2008          271.7          165.2          123.9
     31/05/2008          276.4          166.5          114.5
     01/06/2008          288.7          171.5          108.1
     02/06/2008          301.9          177.1           99.2
     03/06/2008          310.4          180.8           93.0
     04/06/2008          318.0          183.9           86.7
     05/06/2008          321.3          184.7           80.0
     06/06/2008            0.0            0.0           72.9
     07/06/2008            0.0            0.0           67.6
     08/06/2008            0.0            0.0           61.6
     09/06/2008            0.0            0.0           56.3
     10/06/2008            0.0            0.0           52.2
     11/06/2008            0.0            0.0           47.6
     12/06/2008            0.0            0.0           43.4
     13/06/2008          195.0          150.0           40.5
     14/06/2008          195.0          148.9           38.3
     15/06/2008          202.0          151.1           37.3
     16/06/2008          209.7          154.0           37.2
     17/06/2008          217.9          157.2           37.8
     18/06/2008          226.5          160.7           38.6
     19/06/2008          235.4          164.6           39.5
     20/06/2008          244.9          169.0           40.6
     21/06/2008          255.3          174.0           38.3
     22/06/2008          266.2          179.4           37.0
     23/06/2008          273.5          183.0           36.3
     24/06/2008          285.7          189.5           36.5
     25/06/2008          296.2          195.1           37.2
     26/06/2008          306.5          200.6           35.6
     27/06/2008          314.5          204.7           34.3
     28/06/2008          319.0          206.8           33.8
     29/06/2008          329.7          212.6           33.3
     30/06/2008          340.4          218.3           33.3
     01/07/2008          358.0          228.3           33.9
     02/07/2008          376.7          238.9           35.0
     03/07/2008          395.8          249.8           36.6
     04/07/2008          419.2          263.2           38.4
     05/07/2008          441.7          276.1           40.1
     06/07/2008          464.4          289.1           41.9
     07/07/2008          485.4          301.0           40.6
     08/07/2008          502.8          310.6           39.5
     09/07/2008          521.5          321.0           38.8
     10/07/2008          554.5          340.3           37.9
     11/07/2008          584.1          357.3           37.1
     12/07/2008          614.2          374.7           36.9
     13/07/2008          643.7          391.5           36.8
     14/07/2008          685.9          416.2           37.1
     15/07/2008          737.1          446.3           37.9
     16/07/2008          793.8          479.7           39.0
     17/07/2008          842.9          508.0           38.5
     18/07/2008          891.4          535.7           38.3
     19/07/2008          934.1          559.4           37.9
     20/07/2008          987.6          590.0           37.9
     21/07/2008         1034.4          615.9           37.6
     22/07/2008         1090.6          647.7           37.7
     23/07/2008         1145.9          678.8           38.0
     24/07/2008         1230.8          728.8           38.6
     25/07/2008         1284.3          758.4           39.0
     26/07/2008         1311.1          771.1           39.6
     27/07/2008         1397.0          820.7           39.9
     28/07/2008         1494.9          877.8           40.6
     29/07/2008         1566.6          918.1           41.3
     30/07/2008         1659.0          971.4           42.3
     31/07/2008         1736.6         1015.2           43.5
     01/08/2008         1844.7         1078.1           45.1
     02/08/2008         1957.5         1143.6           46.9
     03/08/2008         2078.2         1215.6           49.2
     04/08/2008         2201.9         1288.7           51.6
     05/08/2008         2328.1         1362.4           54.3
     06/08/2008         2445.8         1431.1           57.3
     07/08/2008         2591.6         1517.5           60.7
     08/08/2008         2732.4         1600.2           64.5
     09/08/2008         2886.4         1691.2           68.8
     10/08/2008         3034.6         1777.6           73.5
     11/08/2008         3167.8         1854.6           78.7
     12/08/2008         3314.7         1939.6           80.6
     13/08/2008         3396.9         1981.7           82.3
     14/08/2008         3487.9         2029.3           84.2
     15/08/2008         3594.2         2086.6           86.5
     16/08/2008         3696.7         2141.3           89.4
     17/08/2008         3844.8         2225.1           92.9
     18/08/2008         3988.7         2305.9           96.9
     19/08/2008         4132.5         2386.4          101.5
     20/08/2008         4274.9         2465.6          106.6
     21/08/2008         4413.8         2542.5          112.3
     22/08/2008         4523.6         2600.8          118.5
     23/08/2008         4580.4         2624.8          125.1
     24/08/2008         4719.9         2703.9          133.0
     25/08/2008         4773.9         2726.8          145.1
     26/08/2008         4827.8         2749.9          157.5
     27/08/2008         4886.3         2774.5          166.2
     28/08/2008         4936.8         2794.0          169.7
     29/08/2008         4984.0         2812.9          184.0
     30/08/2008         5050.3         2842.7          198.9
     31/08/2008         5115.9         2872.3          214.7
     01/09/2008         5176.0         2899.0          231.2
     02/09/2008         5231.3         2922.8          248.6
     03/09/2008         5282.0         2951.5          266.1
     04/09/2008         5328.6         2977.1          283.0
     05/09/2008         5357.5         2991.0          298.9
     06/09/2008         5399.9         3013.9          314.8
     07/09/2008         5435.6         3030.7          330.7
     08/09/2008         5478.9         3058.1          343.8
     09/09/2008         5513.4         3076.4          358.4
     10/09/2008         5551.4         3091.6          371.3
     11/09/2008         5605.5         3112.5          376.8
     12/09/2008         5644.5         3128.1          388.7
     13/09/2008         5652.7         3123.4          407.4
     14/09/2008         5635.9         3111.6          415.6
     15/09/2008         5714.6         3160.8          422.3
     16/09/2008         5756.0         3178.9          441.6
     17/09/2008         5808.7         3201.2          462.3
     18/09/2008         5866.1         3227.4          484.8
     19/09/2008         5920.5         3253.7          508.9
     20/09/2008         5968.8         3276.7          534.1
     21/09/2008         6015.6         3300.9          560.4
     22/09/2008         6060.9         3323.8          586.5
     23/09/2008         6104.4         3344.1          606.8
     24/09/2008         6131.0         3354.7          635.9
     25/09/2008         6152.2         3363.8          666.3
     26/09/2008         6198.7         3387.8          697.6
     27/09/2008         6244.5         3412.5          730.0
     28/09/2008         6286.5         3440.3          762.6
     29/09/2008         6326.1         3468.8          786.0
     30/09/2008         6348.7         3489.2          815.8
     01/10/2008          856.6         3478.6          818.2
     02/10/2008          898.9         3467.2          738.8
     03/10/2008          911.3         3452.7          741.5
     04/10/2008          926.7         3439.0          732.2
     05/10/2008          933.7         3414.7          726.4
     06/10/2008          939.6         3389.3          706.2
     07/10/2008          949.6         3377.3          691.2
     08/10/2008          951.6         3362.9          672.8
     09/10/2008          957.2         3348.2          655.1
     10/10/2008          969.0         3330.2          633.9
     11/10/2008          975.9         3307.9          607.8
     12/10/2008          979.2         3283.2          580.9
     13/10/2008          988.3         3269.7          565.2
     14/10/2008         1000.6         3264.6          560.2
     15/10/2008         1014.8         3258.6          554.2
     16/10/2008         1018.5         3254.2          549.7
     17/10/2008         1030.0         3250.2          545.4
     18/10/2008         1043.3         3245.6          540.9
     19/10/2008         1044.0         3230.2          524.1
     20/10/2008         1061.2         3222.9          518.2
     21/10/2008         1063.0         3222.9          516.1
     22/10/2008         1068.7         3218.8          511.7
     23/10/2008         1074.8         3216.0          508.3
     24/10/2008         1079.9         3216.0          505.9
     25/10/2008         1078.2         3208.7          498.6
     26/10/2008         1082.3         3207.5          496.2
     27/10/2008         1082.3         3207.5          496.1
     28/10/2008         1082.3         3207.5          495.6
     29/10/2008         1080.9         3201.8          490.5
     30/10/2008         1079.6         3190.9          481.1
     31/10/2008         1085.9         3174.9          466.7
     01/11/2008         1100.8         3163.8          459.1
     02/11/2008         1106.4         3145.6          444.7
     03/11/2008         1108.1         3126.1          430.7
     04/11/2008         1105.7         3106.6          418.0
     05/11/2008         1104.7         3090.7          401.9
     06/11/2008         1111.3         3086.5          399.0
     07/11/2008         1111.3         3086.5          398.8
     08/11/2008         1111.3         3086.5          398.8
     09/11/2008         1111.3         3086.5          398.8
     10/11/2008         1111.6         3086.5          397.7
     11/11/2008         1111.6         3086.5          397.3
     12/11/2008         1112.1         3086.5          396.0
     13/11/2008         1110.5         3083.6          393.7
     14/11/2008         1110.9         3083.6          392.6
     15/11/2008         1110.9         3083.6          392.6
     16/11/2008         1110.9         3083.6          392.6
