ApsimVersion = 7.6
Title = Pnew soilco2
           Date  soil_root_co2
   (dd/mm/yyyy)             ()
     05/05/2008          0.000
     06/05/2008         18.418
     07/05/2008         18.757
     08/05/2008         16.320
     09/05/2008         14.844
     10/05/2008         12.638
     11/05/2008         14.968
     12/05/2008         12.621
     13/05/2008         11.238
     14/05/2008         11.044
     15/05/2008         10.986
     16/05/2008         12.086
     17/05/2008         13.068
     18/05/2008         15.280
     19/05/2008         15.144
     20/05/2008         14.953
     21/05/2008         14.191
     22/05/2008         13.971
     23/05/2008         14.028
     24/05/2008         15.348
     25/05/2008         14.463
     26/05/2008         19.258
     27/05/2008         20.381
     28/05/2008         14.154
     29/05/2008         13.759
     30/05/2008         11.702
     31/05/2008         14.522
     01/06/2008         16.777
     02/06/2008         17.533
     03/06/2008         16.569
     04/06/2008         13.763
     05/06/2008         15.651
     06/06/2008         13.582
     07/06/2008         15.404
     08/06/2008         17.367
     09/06/2008         14.546
     10/06/2008         15.021
     11/06/2008         15.724
     12/06/2008         13.217
     13/06/2008         14.907
     14/06/2008         15.382
     15/06/2008         12.922
     16/06/2008         13.357
     17/06/2008         13.650
     18/06/2008         14.513
     19/06/2008         15.847
     20/06/2008         16.994
     21/06/2008         17.729
     22/06/2008         17.241
     23/06/2008         16.483
     24/06/2008         16.745
     25/06/2008         17.639
     26/06/2008         18.494
     27/06/2008         16.802
     28/06/2008         18.896
     29/06/2008         17.328
     30/06/2008         17.948
     01/07/2008         14.919
     02/07/2008         14.533
     03/07/2008         16.111
     04/07/2008         16.475
     05/07/2008         16.698
     06/07/2008         17.138
     07/07/2008         18.553
     08/07/2008         24.589
     09/07/2008         22.891
     10/07/2008         22.550
     11/07/2008         22.955
     12/07/2008         21.998
     13/07/2008         20.742
     14/07/2008         19.893
     15/07/2008         17.918
     16/07/2008         17.667
     17/07/2008         18.388
     18/07/2008         19.791
     19/07/2008         21.150
     20/07/2008         18.412
     21/07/2008         21.607
     22/07/2008         18.616
     23/07/2008         20.396
     24/07/2008         20.793
     25/07/2008         17.808
     26/07/2008         20.625
     27/07/2008         21.954
     28/07/2008         19.460
     29/07/2008         22.804
     30/07/2008         22.689
     31/07/2008         24.512
     01/08/2008         26.086
     02/08/2008         26.357
     03/08/2008         26.110
     04/08/2008         27.418
     05/08/2008         28.777
     06/08/2008         25.077
     07/08/2008         24.646
     08/08/2008         25.708
     09/08/2008         26.187
     10/08/2008         27.921
     11/08/2008         28.137
     12/08/2008         27.270
     13/08/2008         30.947
     14/08/2008         32.864
