ApsimVersion = 7.6
Title = Pnew
           Date  AboveGroundWt  BelowGroundWt AboveGroundNPct   BelowGroundN SpeciesLiveWt(1) SpeciesLiveWt(2) SpeciesLiveWt(3) SpeciesTotalWt(1) SpeciesTotalWt(2) SpeciesTotalWt(3)      HarvestWt AboveGroundLiveN AboveGroundDeadN     watertable        OC_20cm        OC_90cm       OC_180cm      n2o_atm() nitrification()         dnit()    MaySeptNDep   MaySeptTiles    MaySeptRain  MaySeptrunoff     MaySepEvap    MaySepTrans  MaySepNnetMin    MaySepDenit MaySeptTilesNO3 MaySepResImmob  MaySepNuptake       biom_c()    surfaceom_c        fom_c()        hum_c()   surfaceom_wt AboveGroundDeadWt     Cover_dead        C_remob     LeafDeadWt LitterDepositionWt RootSenescenceWt             wf    surfaceom_n surfaceom_cover surface_CN_ratio          no3()          nh4() tf_surface_om1             es    WaterUptake            eos    Cover_green dlt_n_min_tot()    dlt_n_min() dlt_n_min_res()    PlantFixedN NitrogenDemand NitrogenSupply NitrogenUptake PlantRemobilisedN            lai      LAI_green       LAI_dead dlt_fom_c_atm() dlt_fom_c_biom() dlt_fom_c_hum() dlt_fom_c_pool1() dlt_fom_c_pool2() dlt_fom_c_pool3() dlt_fom_n_min() dlt_res_c_biom() dlt_res_c_hum() DefoliatedDigestibility       HarvestN HerbageDigestibility RootSenescenceN       roots_cn   Remaining_Wt    Surface_sot        fom_n()      nit_tot()        sot_cnr       sot_cnrf       roots_N%         oc_5cm        oc_15cm        oc_30cm        oc_60cm       oc_100cm        IntRadn       soil_co2       root_co2  soil_root_co2           sw_5          sw_10          sw_15          sw_35          sw_75           st_5          st_10          st_15          st_35          st_75 subsurface_drain       GLFwater        GLFtemp           GLFn         ToRoot       ToRootDM        sotiris         fom_cn           year subsurface_drain_no3    N_conc_mgLN
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)             (%)        (kg/ha)          (kg/ha)          (kg/ha)          (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)        (kg/ha)          (kg/ha)          (kg/ha)           (mm)             ()             ()             ()        (kg/ha)         (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)            (%)        (kg/ha)        (kg/ha)            (kg/ha)          (kg/ha)          (0-1)        (kg/ha)       (m^2/m^2)               ()        (kg/ha)        (kg/ha)             ()           (mm)           (mm)           (mm)            (%)         (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (kg/ha)             ()             ()             ()         (kg/ha)          (kg/ha)         (kg/ha)           (kg/ha)           (kg/ha)           (kg/ha)         (kg/ha)          (kg/ha)         (kg/ha)                   (0-1)        (kg/ha)                (0-1)         (kg/ha)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()             ()             ()             ()             ()           (MJ)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             (mm)          (0-1)          (0-1)          (0-1)          (0-1)        (kg/ha)             ()             ()         (year)              (kg/ha)             ()
     05/05/2008          150.8           99.7           2.222            1.3             46.6             46.0             46.0              50.6              50.1              50.0            0.0              3.3              0.1       1820.000              ?              ?              ?            0.0             1.2            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3465.8           96.4          301.3       247860.8          241.0              12.2          0.006            0.0            6.1                2.8              0.0          0.783            4.8           0.048           20.000           41.1            6.4          0.606          4.242          0.645          4.333          0.120             1.0            1.0             0.0            0.0            0.1           47.1            0.1               0.0              ?          0.275          0.012             5.4              3.3             0.4               4.8               4.2               0.1            -0.0              1.7             0.2                   0.000            0.0                0.919             0.0         31.676              ?              ?           13.7        23027.2          0.013          0.677          1.263          2.980          2.465          1.705          1.258          0.556          2.953          0.000          0.000          0.000          0.268          0.246          0.244          0.252          0.252          0.000          0.000          0.000          0.000          0.000            0.000          1.000          0.930          1.000          0.386            2.3        802.905         22.000           2008                  0.0              ?
     06/05/2008          152.4          101.9           2.253            1.3             48.3             47.1             47.1              51.6              50.5              50.3            0.0              3.4              0.1       1820.000              ?              ?              ?            0.0             1.1            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3466.9           88.8          294.0       247857.5          222.0               9.9          0.005            0.0            5.0                2.2              0.0          1.000            4.4           0.044           20.177           42.4            6.2          0.887          4.827          0.719          4.827          0.123             0.9            0.9             0.0            0.0            0.1           48.2            0.1               0.0              ?          0.282          0.010             4.4              2.6             0.3               3.8               3.5               0.1            -0.0              3.1             0.3                   0.000            0.0                0.919             0.0         31.546              ?              ?           13.4        23027.8          0.013          0.677          1.268          2.980          2.465          1.705          1.258          0.556          3.139         17.827          0.591         18.418          0.212          0.241          0.243          0.251          0.252         19.454         19.962         19.834         19.490         19.067            0.000          0.989          0.977          1.000          0.365            2.2        784.596         22.000           2008                  0.0              ?
     07/05/2008          155.1          104.4           2.277            1.3             50.0             48.4             48.3              52.9              51.2              51.0            0.0              3.5              0.0       1820.000              ?              ?              ?            0.0             1.2            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3465.5           86.1          286.5       247854.0          215.3               8.3          0.004            0.0            4.2                1.8              0.1          0.832            4.2           0.043           20.335           43.3            6.0          0.463          4.122          0.339          4.122          0.127             1.0            1.0             0.0            0.0            0.2           48.9            0.2               0.0              ?          0.290          0.008             4.5              2.7             0.3               3.8               3.7               0.1            -0.0              1.2             0.1                   0.000            0.0                0.919             0.0         31.428              ?              ?           13.0        23027.7          0.013          0.677          1.273          2.980          2.465          1.705          1.258          0.556          3.130         18.072          0.685         18.757          0.361          0.361          0.352          0.266          0.251         18.740         18.586         18.530         18.482         18.354            0.000          0.991          0.744          1.000          0.366            2.6        770.125         22.000           2008                  0.0              ?
     08/05/2008          156.5          106.1           2.295            1.4             51.1             49.3             49.1              53.7              51.6              51.3            0.0              3.6              0.0       1820.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3463.7           84.4          279.6       247850.6          211.1               7.0          0.003            0.0            3.6                1.5              0.1          0.693            4.1           0.043           20.470           44.2            5.9          0.395          2.775          0.349          2.776          0.129             1.0            1.0             0.0            0.0            0.1           49.6            0.1               0.0              ?          0.295          0.007             4.1              2.5             0.3               3.3               3.4               0.1            -0.0              0.8             0.1                   0.000            0.0                0.919             0.0         31.293              ?              ?           12.7        23027.6          0.012          0.677          1.278          2.980          2.465          1.705          1.258          0.556          2.193         15.819          0.500         16.320          0.297          0.301          0.315          0.311          0.264         17.378         17.906         18.169         18.228         18.092            0.000          0.994          0.747          1.000          0.366            1.7        755.569         21.998           2008                  0.0              ?
     09/05/2008          159.4          108.0           2.305            1.4             52.7             50.2             50.0              55.0              52.3              52.0            0.0              3.6              0.0       1820.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3462.8           82.8          274.2       247847.2          206.9               6.5          0.003            0.0            3.5                1.3              0.5          0.507            4.0           0.042           20.587           45.0            5.7          0.517          3.681          0.366          3.728          0.131             0.8            0.8             0.0            0.0            0.1           50.2            0.1               0.0              ?          0.301          0.007             3.4              2.0             0.2               2.6               2.9               0.1            -0.0              0.8             0.1                   0.000            0.0                0.919             0.0         31.211              ?              ?           12.5        23027.5          0.012          0.677          1.282          2.980          2.465          1.705          1.258          0.556          2.928         14.381          0.462         14.844          0.271          0.281          0.299          0.311          0.277         16.681         16.924         17.176         17.387         17.456            0.000          0.996          0.791          1.000          0.366            2.4        741.622         21.997           2008                  0.0              ?
     10/05/2008          162.0          109.8           2.315            1.4             54.2             51.1             50.8              56.3              53.1              52.7            0.0              3.7              0.0       1820.000              ?              ?              ?            0.0             1.0            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3461.2           79.9          268.1       247844.0          199.8               5.9          0.003            0.0            3.3                1.2              0.4          1.000            3.8           0.041           20.689           45.8            5.6          0.410          3.134          0.261          3.134          0.133             0.9            0.9             0.0            0.0            0.1           51.0            0.1               0.0              ?          0.307          0.007             3.8              2.3             0.3               2.9               3.3               0.1            -0.0              1.2             0.1                   0.000            0.0                0.919             0.0         31.096              ?              ?           12.2        23027.6          0.012          0.677          1.286          2.980          2.465          1.705          1.258          0.556          2.608         12.078          0.560         12.638          0.228          0.269          0.289          0.308          0.284         16.942         16.996         17.018         17.027         17.008            0.000          0.994          0.682          1.000          0.367            2.2        731.271         21.988           2008                  0.0              ?
     11/05/2008          164.9          111.8           2.326            1.4             55.8             52.2             51.7              57.6              53.9              53.4            0.0              3.8              0.0       1820.000              ?              ?              ?            0.0             0.9            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3459.3           78.7          262.7       247840.8          196.8               5.2          0.003            0.0            3.0                1.1              0.3          0.881            3.8           0.041           20.793           46.5            5.6          0.239          2.623          0.276          2.625          0.136             0.9            0.9             0.0            0.0            0.1           51.7            0.1               0.0              ?          0.313          0.006             3.3              2.0             0.2               2.5               3.0               0.1            -0.0              0.6             0.1                   0.000            0.0                0.919             0.0         30.996              ?              ?           12.0        23027.5          0.012          0.677          1.290          2.980          2.465          1.705          1.258          0.556          2.381         14.474          0.494         14.968          0.280          0.266          0.282          0.303          0.288         16.508         16.645         16.746         16.800         16.782            0.000          0.996          0.562          1.000          0.368            2.3        719.167         21.981           2008                  0.0              ?
     12/05/2008          167.0          113.2           2.332            1.5             57.0             52.8             52.2              58.7              54.4              53.9            0.0              3.9              0.0       1820.000              ?              ?              ?            0.0             0.8            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3458.5           76.7          258.4       247837.6          191.9               4.9          0.003            0.0            2.9                1.0              0.5          0.754            3.7           0.040           20.885           47.2            5.5          0.412          2.508          0.436          2.553          0.138             0.7            0.7             0.0            0.0            0.1           52.2            0.1               0.0              ?          0.318          0.006             2.7              1.6             0.2               1.9               2.5               0.1            -0.0              0.9             0.1                   0.000            0.0                0.919             0.0         30.898              ?              ?           11.8        23027.5          0.011          0.677          1.295          2.979          2.465          1.705          1.258          0.556          2.178         12.287          0.334         12.621          0.251          0.260          0.277          0.300          0.289         15.257         15.754         16.081         16.315         16.417            0.000          0.998          0.797          1.000          0.368            1.8        708.854         21.976           2008                  0.0              ?
     13/05/2008          171.6          116.0           2.339            1.5             59.2             54.2             53.5              60.8              55.7              55.1            0.0              4.0              0.0       1820.000              ?              ?              ?            0.0             0.7            0.1              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3457.5           75.4          254.1       247834.4          188.4               4.7          0.003            0.0            2.8                0.9              0.5          0.566            3.6           0.039           20.975           47.7            5.5          0.412          2.745          0.396          3.756          0.141             0.7            0.7             0.0            0.0            0.2           52.8            0.2               0.0              ?          0.327          0.006             2.7              1.6             0.2               1.9               2.5               0.1            -0.0              0.6             0.1                   0.000            0.0                0.920             0.0         30.825              ?              ?           11.6        23027.3          0.011          0.677          1.298          2.979          2.465          1.705          1.258          0.556          3.315         10.723          0.515         11.238          0.220          0.256          0.273          0.296          0.290         16.064         15.859         15.833         15.894         15.972            0.000          1.000          0.723          1.000          0.368            3.2        700.465         21.968           2008                  0.0              ?
     14/05/2008          176.3          118.8           2.345            1.6             61.5             55.7             54.8              62.9              57.1              56.3            0.0              4.1              0.0       1820.000              ?              ?              ?            0.0             0.8            0.0              ?              ?              ?              ?              ?              ?              ?              ?               ?              ?              ?         3455.9           74.7          249.7       247831.0          186.8               4.4          0.003            0.0            2.7                0.9              0.4          0.390            3.5           0.039           21.059           48.3            5.4          0.359          1.269          0.494          3.525          0.145             0.8            0.8            -0.0            0.0            0.2           53.3            0.2               0.0              ?          0.336          0.005             2.7              1.6             0.2               1.9               2.6               0.1            -0.0              0.4             0.0                   0.000            0.0                0.920             0.0         30.698              ?              ?           11.4        23027.2          0.011          0.677          1.303          2.979          2.464          1.705          1.258          0.556          3.200         10.521          0.523         11.044          0.186          0.251          0.269          0.293          0.290         16.778         16.539         16.350         16.166         16.023            0.000          1.000          0.742          1.000          0.369            3.3        693.508         21.959           2008                  0.0              ?
